"fourth_conj_not_dep_presentStem"	""
"230"	"glutio"	"swallow, gulp down;"
"231"	"gluttio"	"swallow, gulp down;"
"232"	"grandio"	"increase;"
"233"	"groccio"	"croak/caw (like a raven);"
"234"	"grundio"	"grunt like a pig;"
"235"	"grunnio"	"grunt like a pig;"
"236"	"haurio"	"draw up/out; drink, swallow, drain, exhaust;"
"237"	"hinnio"	"neigh;"
"238"	"hostio"	"requite, recompense;"
"239"	"ignio"	"ignite; make red-hot;"
"240"	"illinio"	"smear on; spread on; besmear;"
"241"	"immugio"	"bellow; resound inwardly; roar in/on;"
"242"	"immunio"	"strengthen (garrison);"
"243"	"impartio"	"bestow, impart, give a share (of); communicate (w/DAT); (=impertio);"
"244"	"impedio"	"hinder, impede, hamper, obstruct, prevent from (w/ne, quin, or quominus);"
"245"	"impertio"	"bestow, impart, give a share (of); communicate (w/DAT);"
"246"	"impetrio"	"seek by auspices;"
"247"	"inanio"	"empty;"
"248"	"inaudio"	"hear of; learn;"
"249"	"indaudio"	"hear of; learn; (archaic form of inaudio);"
"250"	"indormio"	"sleep (in or over);"
"251"	"ineptio"	"play the fool, trifle;"
"252"	"infercio"	"stuff; stuff with;"
"253"	"infulcio"	"cram; cram in;"
"254"	"innutrio"	"nourish;"
"255"	"inobaudio"	"disobey; not listen/pay attention; (in+obaudio);"
"256"	"inobedio"	"disobey; not listen/pay attention;"
"257"	"inoboedio"	"disobey; not listen/pay attention;"
"258"	"inpedio"	"hinder, impede, hamper, obstruct, prevent from (w/ne, quin, or quominus);"
"259"	"insanio"	"be mad, act crazily;"
"260"	"inservio"	"be serviceable (L+S); be attached/submissive to; treat with deference;"
"261"	"inservio"	"serve the interests of; take care of, look after, pay attention/be devoted to;"
"262"	"insignio"	"mark with a characteristic feature; distinguish;"
"263"	"insignio"	"mark; distinguish;"
"264"	"insilio"	"come/leap upon/in; leap/spring up/at; attack/throw oneself upon; bound; mount;"
"265"	"insilio"	"come/leap upon/in; leap/spring up/at; attack/throw oneself upon; bound; mount;"
