"second_conj_not_dep_presentStem"	"second_conj_not_dep___meaning"
"301"	"horreo"	"dread, shrink from, shudder at; stand on end, bristle; have rough appearance;"
"302"	"illuceo"	"illuminate, shine on;"
"303"	"immineo"	"threaten, be a threat (to); overhang, be imminent; with DAT;"
"304"	"immisceo"	"mix in, mingle; confuse;"
"305"	"impendeo"	"overhang, hang over; threaten; be imminent, impend; (w/DAT);"
"306"	"impleo"	"fill up; satisfy, fulfill; fill, finish, complete; spend (time);"
"307"	"imprimeo"	"print (a book);"
"308"	"indigeo"	"need, lack, require (w/GEN or ABL);"
"309"	"indulgeo"	"indulge; be indulgent/lenient/kind; grant/bestow; gratify oneself; give in to;"
"310"	"infulgeo"	"shine in; lighten;"
"311"	"inhaereo"	"stick/hold fast/to, cling, adhere, fasten on; haunt, dwell in; get teeth in;"
"312"	"inhibeo"	"restrain, curb; prevent;"
"313"	"inhorreo"	"stand on end; bristle up; shiver all over;"
"314"	"inluceo"	"illuminate, shine on;"
"315"	"inrideo"	"laugh at, ridicule;"
"316"	"insideo"	"sit (at/on); sit (on) a horse; be seated; (things) rest/lie upon; lie heavy;"
"317"	"insideo"	"|be situated in/on; inhabit (area); lie in ambush (in); be troublesome (to);"
"318"	"insideo"	"||be fixed/stamped in; adhere to; grip; take possession of; hold/occupy;"
"319"	"intepeo"	"be lukewarm;"
"320"	"interjaceo"	"lie between;"
"321"	"interluceo"	"shine forth;"
"322"	"intermisceo"	"intermingle, mix, mix among, mingle;"
"323"	"interniteo"	"shine forth; shine among;"
"324"	"intorqueo"	"twist or turn round, sprain; hurl or launch a missile at;"
"325"	"invideo"	"envy, regard with envy/ill will; be jealous of; begrudge, refuse;"
"326"	"irrideo"	"ridicule, mock, make fun of; laugh at;"
"327"	"jaceo"	"lie; lie down; lie ill/in ruins/prostrate/dead; sleep; be situated;"
"328"	"jubeo"	"order/tell/command/direct; enjoin/command; decree/enact; request/ask/bid; pray;"
"329"	"langueo"	"be tired; be listless/sluggish/unwell/ill; wilt, lack vigor;"
"330"	"lateo"	"lie hidden, lurk; live a retired life, escape notice;"
"331"	"libet"	"it pleases, is pleasing/agreeable; (w/qui whatever, whichever, no matter);"
"332"	"liceo"	"fetch (price); (with ABL or GEN);"
"333"	"licet"	"it is permitted, one may; it is all right, lawful, allowed, permitted;"
"334"	"lineo"	"smear, plaster (with); seal (wine jar); erase/rub over; befoul; cover/overlay;"
"335"	"liqueo"	"be in molten/liquid state; be clear to a person; be evident;"
"336"	"liqueo"	"be in molten/liquid state; be clear to a person; be evident;"
"337"	"liquet"	"it is proven, guilt is established; [non ~ => not proven as a verdict/N.L.];"
"338"	"liveo"	"be livid or discolored; be envious;"
"339"	"lubet"	"it pleases/is pleasing/agreeable; please/want/feel like; [w/qui => no matter];"
"340"	"luceo"	"shine, emit light (heavenly body); dawn; cause to shine;  be clear/evident;"
"341"	"luceo"	"|sparkle/glitter/shine w/reflected light; be conspicuous in merit, excel;"
"342"	"luceo"	"||be bright/resplendent; be visible, show up; [lucet => it is (becoming) light];"
"343"	"lugeo"	"mourn, grieve (over); bewail, lament; be in mourning;"
"344"	"madeo"	"be wet (w/tears/perspiration), be dripping/sodden;"
"345"	"maereo"	"grieve, be sad, mourn; bewail/mourn for/lament; utter mournfully;"
"346"	"maneo"	"remain, stay, abide; wait for; continue, endure, last; spend the night (sexual);"
"347"	"marceo"	"be enfeebled, weak or faint;"
"348"	"mereo"	"earn; deserve/merit/have right; win/gain/incur; earn soldier/whore pay, serve;"
"349"	"mineo"	"project, overhang;"
"350"	"misceo"	"mix, mingle; embroil; confound; stir up;"
"351"	"misereo"	"pity, feel pity; show/have mercy/compassion/pity for (w/GEN);"
"352"	"misereo"	"pity, feel pity; show/have mercy/compassion/pity for (w/GEN);"
"353"	"miseret"	"it distresses/grieves me; I am moved to pity, I feel sorry for (w/me + GEN);"
