"third_conj_not_dep_presentStem"	"third_conj_not_dep___meaning"
"1815"	"officio"	"block the path (of ), check, impede;"
"1816"	"offigo"	"fasten; drive in;"
"1817"	"offlecto"	"turn about;"
"1818"	"offringo"	"break up (ground) by cross-plowing;"
"1819"	"offundo"	"pour/spread over;"
"1820"	"oggero"	"give; proffer;"
"1821"	"olefacio"	"smell/detect odor of; get wind of/hear about; smell/sniff at; cause to smell of;"
"1822"	"olfacio"	"smell/detect odor of; get wind of/hear about; smell/sniff at; cause to smell of;"
"1823"	"omitto"	"lay aside; omit; let go; disregard;"
"1824"	"oppando"	"spread/stretch out/in the way;"
"1825"	"oppando"	"spread/stretch out/in the way;"
"1826"	"oppedo"	"break wind; insult;"
"1827"	"oppeto"	"meet, encounter; perish;"
"1828"	"oppono"	"oppose; place opposite;"
"1829"	"opprimo"	"press down; suppress; overthrow; crush, overwhelm, fall upon, oppress;"
"1830"	"oprepo"	"creep up on/approach unawares/unobserved; sneak/drop in; pay surprise visit on;"
"1831"	"optingo"	"befall, occur (to advantage/disadvantage); fall to as one's lot;"
"1832"	"oro"	"burn;"
"1833"	"ostendo"	"show; reveal; make clear, point out, display, exhibit;"
"1834"	"ostendo"	"show; reveal; make clear, point out, display, exhibit;"
"1835"	"pacisco"	"make a bargain or agreement; agree, enter into a marriage contract; negotiate;"
"1836"	"pallesco"	"grow pale; blanch; fade;"
"1837"	"pando"	"spread out [passis manibus => with hands outstretched];"
"1838"	"pango"	"compose; insert, drive in, fasten; plant; fix, settle, agree upon, stipulate;"
"1839"	"pango"	"compose; insert, drive in, fasten; plant; fix, settle, agree upon, stipulate;"
"1840"	"pango"	"compose; insert, drive in, fasten; plant; fix, settle, agree upon, stipulate;"
"1841"	"parco"	"forbear, refrain from; spare; show consideration; be economical/thrifty with;"
"1842"	"parco"	"forbear, refrain from; spare; show consideration; be economical/thrifty with;"
"1843"	"parco"	"forbear, refrain from; spare; show consideration; be economical/thrifty with;"
"1844"	"pario"	"bear; give birth to; beget, bring forth; produce, lay (eggs); create; acquire;"
"1845"	"parvipendo"	"slight (Douay); pay little attention to, give little weight to;"
"1846"	"pasco"	"feed, feed on; graze;"
"1847"	"patefacio"	"reveal/uncover/disclose/expose; bring to light; make known/visible; dissect;"
"1848"	"patefacio"	"|open (up); (gates); clear, make available; deploy (troops); expose (to attack);"
"1849"	"patesco"	"be opened/open/revealed; become clear/known; open; extend, spread;"
"1850"	"pavefacio"	"terrify; alarm; scare/frighten"
"1851"	"pavesco"	"become alarmed;"
"1852"	"pecto"	"comb; card (wool, etc);"
"1853"	"pecto"	"comb; card (wool, etc);"
"1854"	"pellego"	"read over/through (silent/aloud); scan, survey, run one's eyes over; recount;"
"1855"	"pellicio"	"attract/draw away; allure/seduce/entice/captivate; coax/induce/wheedle/win over;"
"1856"	"pellicio"	"attract/draw away; allure/seduce/entice/captivate; coax/induce/wheedle/win over;"
"1857"	"pellico"	"attract/draw away; allure/seduce/entice/captivate; coax/induce/wheedle/win over;"
"1858"	"pello"	"beat; drive out; push; banish, strike, defeat, drive away, rout;"
"1859"	"pendo"	"weigh out; pay, pay out;"
"1860"	"peraccedo"	"succeed in reaching;"
"1861"	"peracesco"	"become very bitter/sour; become vexed/upset; get teed off;"
"1862"	"perago"	"disturb; finish; kill; carry through to the end, complete;"
"1863"	"perbibo"	"drink deeply, drink in;"
"1864"	"perbito"	"perish; go over;"
"1865"	"percalesco"	"become very warm;"
"1866"	"percallesco"	"become callous;"
"1867"	"percello"	"strike down; strike; overpower; dismay, demoralize, upset;"
"1868"	"percido"	"hit/punch very hard; commit sodomy on; cut down/to pieces (troops);"
"1869"	"percipio"	"secure, gain; perceive, learn, feel;"
"1870"	"percoquo"	"cook thoroughly; bake, heat;"
"1871"	"percrebesco"	"become very frequent, become very widespread;"
"1872"	"percrebresco"	"become very frequent, become very widespread;"
"1873"	"percupio"	"be very eager for, long for; desire greatly, wish wholeheartedly;"
"1874"	"percurro"	"quickly move/run/travel/hasten/pass through/over; form continuous line; stroke;"
"1875"	"percurro"	"|review, run over (in thought/words), run through in sequence; skim over;"
"1876"	"percurro"	"||touch upon different points in quick succession; fill offices in succession;"
"1877"	"percurro"	"|||travel quickly from end to end; make rapid tour, visit in quick succession;"
"1878"	"percurro"	"quickly move/run/travel/hasten/pass through/over; form continuous line; stroke;"
"1879"	"percurro"	"|review, run over (in thought/words), run through in sequence; skim over;"
"1880"	"percurro"	"||touch upon different points in quick succession; fill offices in succession;"
"1881"	"percurro"	"|||travel quickly from end to end; make rapid tour, visit in quick succession;"
"1882"	"percutio"	"beat, strike; pierce;"
"1883"	"perdepso"	"dishonor; have improper sex; (rude);"
"1884"	"perdisco"	"learn thoroughly;"
"1885"	"perdo"	"ruin, destroy; lose; waste;"
"1886"	"perdoco"	"teach (thoroughly);"
"1887"	"perdolesco"	"feel great pain;"
"1888"	"perdormisco"	"sleep on;"
"1889"	"perduco"	"lead, guide; prolong; induce, conduct, bring through;"
"1890"	"peredo"	"eat up, consume, waste;"
"1891"	"perficio"	"complete, finish; execute; bring about, accomplish; do thoroughly;"
"1892"	"perfigo"	"pierce; transfix; pierce through (L+S); penetrate; impale; run/thrust through;"
"1893"	"perfluo"	"flow/run through; flow on/along; stream (with moisture); flow (drapery);"
"1894"	"perfodio"	"bore/dig/make hole/passage/channel/break in/through; dig/pierce/stab/perforate;"
"1895"	"perfrigefacio"	"make cold; cause to shudder;"
"1896"	"perfrigesco"	"catch cold;"
"1897"	"perfringo"	"break through;"
"1898"	"perfugio"	"flee, desert; take refuge;"
"1899"	"perfundo"	"pour over/through, wet, flood, bathe; overspread, coat, overlay; imbue;"
"1900"	"perfuro"	"rage, storm (throughout);"
"1901"	"pergo"	"go on, proceed;"
"1902"	"perhorresco"	"tremble or shudder greatly; recoil in terror from;"
"1903"	"perimo"	"kill, destroy;"
"1904"	"perlego"	"read over/through (silent/aloud); scan, survey, run one's eyes over; recount;"
"1905"	"perlicio"	"attract/draw away; allure/seduce/entice/captivate; coax/induce/wheedle/win over;"
"1906"	"perlicio"	"attract/draw away; allure/seduce/entice/captivate; coax/induce/wheedle/win over;"
"1907"	"perligo"	"read over/through (silent/aloud); scan, survey, run one's eyes over; recount;"
"1908"	"perluo"	"wash off or thoroughly, bathe;"
"1909"	"permadesco"	"become very/quite wet/sodden; be soaked through; be soft/effeminate;"
"1910"	"permanasco"	"penetrate;"
"1911"	"permaturesco"	"mature, ripen thoroughly;"
"1912"	"permitto"	"let through; let go through; relinquish; permit, allow; entrust; hurl;"
"1913"	"pernosco"	"get to know well; become well acquainted/conversant with; get full knowledge of;"
"1914"	"pernotesco"	"become generally/well/everywhere known;"
"1915"	"pernotesct"	"it has become well known; it has been thoroughly investigated;"
"1916"	"perpello"	"compel, constrain, prevail upon; enforce;"
"1917"	"perpendo"	"weigh carefully; assess carefully;"
"1918"	"perpluo"	"rain through; allow rain through;"
"1919"	"perprimo"	"press hard;"
"1920"	"perquiro"	"search everywhere for;"
"1921"	"perrepo"	"crawl over; crawl along;"
"1922"	"perrumpo"	"break through;"
"1923"	"perscindo"	"tear apart;"
"1924"	"perscribo"	"report; describe; write out in full; finish writing, write a detailed record;"
"1925"	"persentisco"	"begin to perceive distinctly or feel deeply;"
"1926"	"persido"	"settle down; sink into;"
"1927"	"persolvo"	"pay;"
"1928"	"perspergo"	"sprinkle, moisten;"
"1929"	"perspicio"	"see through; examine; observe;"
"1930"	"persterno"	"pave all over;"
"1931"	"perstringo"	"graze, graze against; make tight all over; offend, make unfavorable mention;"
"1932"	"pertego"	"cover over;"
"1933"	"pertendo"	"persevere, persist; press on;"
"1934"	"pertergo"	"wipe over; touch lightly;"
"1935"	"perterrefacio"	"make extremely frightened; terrify thoroughly;"
"1936"	"pertexo"	"accomplish; interweave;"
"1937"	"pertimesco"	"become very scared (of );"
"1938"	"pertingo"	"reach, get as far as; extend (in a direction); concern, affect;"
"1939"	"pertraho"	"draw or drag through or to, bring or conduct forcibly to; draw on, lure;"
"1940"	"pertundo"	"bore through, perforate;"
"1941"	"peruro"	"burn up/through, consume w/fire; fire (w/passion); burn/scorch; chafe/irritate;"
"1942"	"pervado"	"go or come through; spread through; penetrate; pervade;"
"1943"	"perveho"	"bear, carry or convey through; [pervehi, pass =>  to sail to, ride to];"
"1944"	"perverto"	"overthrow; subvert; destroy, ruin, corrupt;"
"1945"	"pervinco"	"conquer completely; carry (proposal), gain an objective, persuade;"
"1946"	"petesso"	"long for, strive after;"
"1947"	"petisso"	"long for, strive after;"
"1948"	"peto"	"attack; aim at; desire; beg, entreat, ask (for); reach towards, make for;"
"1949"	"pigo"	"be weakened (Douay);"
"1950"	"pigresco"	"become slow;"
"1951"	"pingo"	"paint, tint, color; adorn/decorate w/colored designs; paint/draw/depict/portray;"
"1952"	"pingo"	"|decorate/embellish; depict in embroidery; [acu ~ => embroidery, needle-work];"
"1953"	"pinguesco"	"grow fat; become strong or fertile;"
"1954"	"pinso"	"stamp, pound, crush"
"1955"	"pinso"	"stamp, pound, crush"
"1956"	"pinso"	"stamp, pound, crush"
"1957"	"plango"	"strike, beat; bewail; lament for, mourn;"
"1958"	"plascisco"	"compose; settle;"
"1959"	"plaudo"	"clap, strike (w/flat hand), pat; beat (wings); applaud; express (dis)approval;"
"1960"	"plebesco"	"become notorious; associate with common people;"
"1961"	"plecto"	"buffet, beat; punish;"
"1962"	"plecto"	"plait, twine;"
"1963"	"plodo"	"clap, strike (w/flat hand), pat; beat (wings); applaud; express (dis)approval;"
"1964"	"plumesco"	"grow feathers; begin to get feathers; become feathered/fledged;"
"1965"	"pluo"	"rain; fall like rain; rain down; drip with rain;"
"1966"	"pluo"	"rain; fall like rain; rain down; drip with rain;"
"1967"	"plut"	"it rains;"
"1968"	"pollingo"	"wash corpse;"
"1969"	"polluo"	"soil/foul/dirty/stain/pollute; infect (w/disease); make impure; break (fast);"
"1970"	"polluo"	"|violate; dishonor/defile/degrade (w/illicit sexual conduct/immoral actions);"
"1971"	"pono"	"put, place, set; station; (archaic form of perf. of pono);"
"1972"	"pono"	"put/place/set; station/post (troops); pitch (camp); situate; set up; erect;"
"1973"	"pono"	"|specify, put down; cite/quote; locate; depict; classify; assume/suppose; bury;"
"1974"	"pono"	"||lay (foundation/keel); found (town), build; plant (trees); provide/serve;"
"1975"	"pono"	"|||put/lay down (load/arms), take off (clothes); shed (leaves); cut (nails);"
"1976"	"pono"	"||||esteem/value/count; impose; ordain; lend, put out, offer, wager; rid/drop;"
"1977"	"porricio"	"offer as a sacrifice, make sacrifice/oblation of; lay before (L+S); produce;"
"1978"	"porrigo"	"stretch out, extend;"
"1979"	"portendo"	"predict, foretell; point out;"
"1980"	"posco"	"ask, demand;"
"1981"	"possido"	"seize, hold, be master of; possess, take/hold possession of, occupy; inherit;"
"1982"	"postpono"	"neglect; disregard; put after, consider secondary; set aside, postpone;"
"1983"	"postscribo"	"write after;"
"1984"	"praebibo"	"toast; drink a toast;"
"1985"	"praecedo"	"go before, precede; surpass, excel;"
"1986"	"praecello"	"excel; surpass;"
"1987"	"praecerpo"	"pluck before time; pluck or cut off; gather before it's time;"
"1988"	"praecido"	"cut off in front; cut back, cut short;"
"1989"	"praecingo"	"gird, surround, encircle;"
"1990"	"praecino"	"predict;"
"1991"	"praecipio"	"take or receive in advance; anticipate; warn; order; teach, instruct;"
"1992"	"praecludo"	"close, block;"
"1993"	"praecognosco"	"have foreknowledge of, get to know/become aware of/learn beforehand;"
"1994"	"praeconsumo"	"use up prematurely;"
"1995"	"praecorrumpo"	"pre-bribe; bribe in advance;"
"1996"	"praecurro"	"run before, hasten on before; precede; anticipate;"
"1997"	"praecurro"	"run before, hasten on before; precede; anticipate;"
"1998"	"praecutio"	"shake before, brandish before;"
"1999"	"praedico"	"say beforehand, mention in advance; warn/predict/foretell; recommend/prescribe;"
"2000"	"praedisco"	"learn in advance;"
"2001"	"praeduco"	"extend; construct;"
"2002"	"praeficio"	"put in charge, place in command (with ACC and DAT);"
"2003"	"praefigo"	"set in front;"
"2004"	"praefluo"	"flow past;"
"2005"	"praefodio"	"dig a trench in front of; bury beforehand;"
"2006"	"praefringo"	"break off at the end, break off short;"
"2007"	"praehendo"	"catch/capture; take hold of/possession of/in hand, arrest; occupy; seize/grasp;"
"2008"	"praehendo"	"|catch up with; reach shore/harbor; understand, comprehend; get a grip on;"
"2009"	"praeicio"	"throw/cast before/in front of; reject (L+S); utter reproachfully; oppose (Sax);"
"2010"	"praeintelligo"	"have foreknowledge;"
"2011"	"praejacio"	"throw/cast before/in front of; reject (L+S); utter reproachfully; oppose (Sax);"
"2012"	"praejicio"	"throw/cast before/in front of; reject (L+S); utter reproachfully; oppose (Sax);"
"2013"	"praelambo"	"lick first; P:wash lightly;"
"2014"	"praelego"	"sail along;"
"2015"	"praemetuo"	"fear beforehand;"
"2016"	"praemitto"	"send ahead or forward;"
"2017"	"praendo"	"catch/capture; take hold of/possession of/in hand, arrest; occupy; seize/grasp;"
"2018"	"praendo"	"|catch up with; reach shore/harbor; understand, comprehend; get a grip on;"
"2019"	"praenosco"	"foreknow;"
"2020"	"praeolit"	"pre-perceive; perceive before;"
"2021"	"praepando"	"open wide in front, extend before;"
"2022"	"praepono"	"place in command, in front of or before; put X (ACC) in front of Y (DAT);"
"2023"	"praerigesco"	"become very stiff;"
"2024"	"praeripio"	"snatch away (before the proper time); seize first; forestall;"
"2025"	"praerodo"	"bite off end; nibble off;"
"2026"	"praerumpo"	"break off;"
"2027"	"praescio"	"get to know/find out/learn beforehand;"
"2028"	"praescisco"	"get to know/find out/learn beforehand;"
"2029"	"praescribo"	"order, direct;"
"2030"	"praespargo"	"scatter before;"
"2031"	"praesterno"	"pre-spread; prepare;"
"2032"	"praestituo"	"determine in advance;"
"2033"	"praestringo"	"bind or tie up; graze, weaken, blunt;"
"2034"	"praestruo"	"block up, contrive beforehand;"
"2035"	"praesumo"	"consume/perform/employ beforehand; anticipate; presuppose/presume/assume; dare;"
"2036"	"praesumo"	"consume/perform/employ beforehand; anticipate; presuppose/presume/assume; dare;"
"2037"	"praetendo"	"stretch out; spread before; extend in front; allege in excuse;"
"2038"	"praeterago"	"drive past/by;"
"2039"	"praeterbito"	"pass by; drive past/by;"
"2040"	"praeterduco"	"lead past;"
"2041"	"praeterfluo"	"flow past;"
"2042"	"praetermitto"	"let pass; pass over; omit; overlook;"
"2043"	"praetexo"	"weave in front, fringe; cloak (with); pretend;"
"2044"	"praetexo"	"border; adorn; D:tragedy;"
"2045"	"praeuro"	"scorch at the extremity or on the surface;"
"2046"	"praeverro"	"presweep; sweep before;"
"2047"	"praeverto"	"anticipate; preoccupy, attend to first; outstrip, outrun;"
"2048"	"praevorto"	"anticipate; preoccupy, attend to first; outstrip, outrun;"
"2049"	"preconcipio"	"preconceive; foreordain;"
"2050"	"prehendo"	"catch/capture; take hold of/possession of/in hand, arrest; occupy; seize/grasp;"
"2051"	"prehendo"	"|catch up with; reach shore/harbor; understand, comprehend; get a grip on;"
"2052"	"prehendo"	"catch/capture; take hold of/possession of/in hand, arrest; occupy; seize/grasp;"
"2053"	"prehendo"	"|catch up with; reach shore/harbor; understand, comprehend; get a grip on;"
"2054"	"premo"	"press, press hard, pursue; oppress; overwhelm;"
"2055"	"prendo"	"catch/capture; take hold of/possession of/in hand, arrest; occupy; seize/grasp;"
"2056"	"prendo"	"|catch up with; reach shore/harbor; understand, comprehend; get a grip on;"
"2057"	"prendo"	"catch, take hold of; arrest, capture; reach; understand; seize, grasp; occupy;"
"2058"	"procedo"	"proceed; advance; appear;"
"2059"	"procido"	"fall prostrate, collapse;"
"2060"	"prociedo"	"go forward, proceed; advance;"
"2061"	"procingo"	"gird-up; prepare;"
"2062"	"procresco"	"grow on to maturity, grow larger;"
"2063"	"procudo"	"forge, hammer out, beat out;"
"2064"	"procumbo"	"sink down, lie down, lean forward;"
"2065"	"procurro"	"run out ahead, run forward, advance; jut out;"
"2066"	"procurro"	"run out ahead; jut out;"
"2067"	"prodico"	"give notice of or fix a day;"
"2068"	"prodigo"	"drive forth/out; get rid of; use up, consume; waste/dissipate/squander; lavish;"
"2069"	"prodio"	"go/come forth/forward/out; appear, spring up; advance/proceed; extend, project;"
"2070"	"prodo"	"project, thrust forward; bring forth, produce, give birth to; create; nominate;"
"2071"	"prodo"	"|institute; extend, prolong; hand down (lore); publish/record, reveal, uncover;"
"2072"	"prodo"	"||put out; assert; betray; give up, abandon, forsake;"
"2073"	"produco"	"lead forward, bring out; reveal; induce; promote; stretch out; prolong; bury;"
"2074"	"proficio"	"make, accomplish, effect;"
"2075"	"profluo"	"flow forth or along; emanate (from);"
"2076"	"profugio"	"escape, escape from; run away from;"
"2077"	"profundo"	"pour, pour out; utter; squander;"
"2078"	"progero"	"carry forth; clear out; carry before;"
"2079"	"progigno"	"beget; produce;"
"2080"	"proicio"	"throw down, throw out; abandon; throw away;"
"2081"	"projicio"	"throw down, throw out; abandon; throw away;"
"2082"	"prolicio"	"lure forward, lead on;"
"2083"	"proludo"	"carry out preliminary exercises before a fight; rehearse for;"
"2084"	"proluo"	"wash out; wash away; wash up; purify;"
"2085"	"promitto"	"promise;"
"2086"	"promo"	"take/bring out/forth; bring into view; bring out/display on the stage;"
"2087"	"promo"	"take/bring out/forth; bring into view; bring out/display on the stage;"
"2088"	"propello"	"drive forward/forth; drive away/out/off; defeat;"
"2089"	"propono"	"display; propose; relate; put or place forward;"
"2090"	"propulluo"	"defile; pollute;"
"2091"	"prorepo"	"crawl or creep forth;"
"2092"	"proripio"	"drag or snatch away; rush or burst forth;"
"2093"	"prorumpo"	"rush forth, break out;"
"2094"	"proruo"	"rush forward; tumble down; overthrow; hurl forward;"
"2095"	"proscindo"	"cut (surface), slit, gash; plow (unbroken land); flay with words, castigate;"
"2096"	"proscribo"	"announce, make public, post, advertise; proscribe, deprive of property;"
"2097"	"prosero"	"beget; bring forth, beget; produce by sowing;"
"2098"	"proserpo"	"creep forward;"
"2099"	"prospicio"	"foresee; see far off; watch for, provide for, look out for;"
"2100"	"prosterno"	"knock over, lay low; strike down, overthrow; exhaust; debase/demean; prostrate;"
"2101"	"prostituo"	"prostitute; put to improper sexual/unworthy use; dishonor, expose to shame;"
"2102"	"prosubigo"	"dig up in front of one; dig up, cast up; hammer out into an extended shape;"
"2103"	"protego"	"cover, protect;"
"2104"	"protendo"	"stretch out/forth, extend, distend; hold out; prolong, lengthen;"
"2105"	"protendo"	"stretch out/forth, extend, distend; hold out; prolong; lengthen;"
"2106"	"protero"	"crush, tread under foot; oppress;"
"2107"	"protollo"	"stretch out; put off; raise up;"
"2108"	"protraho"	"drag forward, produce; bring to light, reveal; prolong, protract;"
"2109"	"protrudo"	"thrust forwards or out; put off;"
"2110"	"proveho"	"carry; pass, be carried, ride, sail;"
"2111"	"provinco"	"conquer before;"
"2112"	"provivo"	"live on; sustain oneself with;"
"2113"	"provolvo"	"roll forward or along, bowl over;"
"2114"	"provomo"	"vomit forth;"
"2115"	"psallo"	"play on the cithara (by plucking with fingers); sing the Psalms (eccl.) (L+S);"
"2116"	"pubesco"	"reach physical maturity, grow body hair/to manhood; ripen (fruit), mature;"
"2117"	"pulchresco"	"grow beautiful;"
"2118"	"pungo"	"prick, puncture; sting (insect); jab/poke; mark with points/pricks; vex/trouble;"
"2119"	"pungo"	"prick, puncture; sting (insect); jab/poke; mark with points/pricks; vex/trouble;"
"2120"	"putesco"	"begin to rot, go off;"
"2121"	"putrefacio"	"cause to rot/decay/crumble/disintegrate; putrefy; make friable; soften;"
"2122"	"putrefio"	"make rotten; (passive form of putrefacio);"
"2123"	"putresco"	"rot, putrefy, be in a state of decay;"
"2124"	"putro"	"decay, rot, putrefy; fester; become stale (water)/loose (soil); crumble, molder;"
"2125"	"quaero"	"search for, seek, strive for; obtain; ask, inquire, demand;"
"2126"	"quaeso"	"beg, ask, ask for, seek;"
"2127"	"quatefacio"	"shake, weaken;"
"2128"	"quatio"	"shake;"
"2129"	"quiesco"	"rest, keep quiet/calm, be at peace/rest; be inactive/neutral; permit; sleep;"
"2130"	"rabio"	"rave; be mad;"
"2131"	"rado"	"shave; scratch, scrape; coast by;"
"2132"	"rapio"	"drag off; snatch; destroy; seize, carry off; pillage; hurry;"
"2133"	"rarefacio"	"make less solid;"
"2134"	"raresco"	"thin out, open out; become sparse;"
"2135"	"rebito"	"turn back; return;"
"2136"	"recalfacio"	"make warm again, warm up;"
"2137"	"recandesco"	"glow again with heat; become/grow white (again), whiten;"
"2138"	"reccido"	"fall/sink back, lapse/relapse/revert; fall to earth; come to naught; rebound on;"
"2139"	"recedo"	"recede, go back, withdraw, ebb; retreat; retire; move/keep/pass/slip away;"
"2140"	"recello"	"spring back, fly back;"
"2141"	"recido"	"fall/sink back, lapse/relapse/revert; fall to earth; come to naught; rebound on;"
"2142"	"recido"	"cut back/off (to base/tree), prune; cut back/away; get by cutting; curtail;"
"2143"	"recingo"	"ungird, unfasten, undo;"
"2144"	"recino"	"chant back, echo; call out;"
"2145"	"recipio"	"keep back; recover; undertake; guarantee; accept, take in; take back;"
"2146"	"recludo"	"open; open up, lay open, disclose, reveal;"
"2147"	"recognosco"	"recognize, recollect;"
"2148"	"recolligo"	"recover, gather again, collect;"
"2149"	"recolo"	"cultivate afresh; go over in one's mind;"
"2150"	"recondo"	"hide, conceal; put away;"
"2151"	"recoquo"	"renew by cooking, boil again, rehash; reheat, melt down; forge anew;"
"2152"	"recresco"	"grow again;"
"2153"	"recrudesco"	"become raw again; break out/open again/afresh;"
"2154"	"recumbo"	"recline, lie at ease, sink/lie/settle back/down; recline at table;"
"2155"	"recurro"	"run or hasten back; return; have recourse (to);"
"2156"	"recurro"	"run or hasten back; return; have recourse (to);"
"2157"	"recutio"	"strike so as to cause to vibrate;"
"2158"	"redardesco"	"blaze up again;"
"2159"	"redarguo"	"refute; prove untrue;"
"2160"	"reddo"	"return; restore; deliver; hand over, pay back, render, give back; translate;"
"2161"	"redigo"	"drive back; reduce; render;"
"2162"	"redimo"	"buy back, recover, replace by purchase; buy up; make good, fulfill (promise);"
"2163"	"redimo"	"|redeem; atone for; ransom; rescue/save; contract for; buy/purchase; buy off;"
"2164"	"redimo"	"buy back, recover, replace by purchase; buy up; make good, fulfill (promise);"
"2165"	"redimo"	"|redeem; atone for; ransom; rescue/save; contract for; buy/purchase; buy off;"
"2166"	"redormisco"	"go back to sleep, fall asleep again; (Erasmus);"
"2167"	"reduco"	"lead back, bring back; restore; reduce;"
"2168"	"refello"	"refute, rebut;"
"2169"	"reficio"	"rebuild, repair, restore;"
"2170"	"refigo"	"unfix, unfasten, detach; pull out, take off, tear down;"
"2171"	"refingo"	"remake; make anew; feign;"
"2172"	"reflecto"	"bend back; turn back; turn round;"
"2173"	"refluo"	"flow back, recede;"
"2174"	"refrigesco"	"grow cold, cool down;"
"2175"	"refringo"	"break open;"
"2176"	"refugio"	"flee back; run away, escape;"
"2177"	"refulgo"	"flash back, glitter;"
"2178"	"refundo"	"pour back;"
"2179"	"regero"	"carry back; throw back; throw back by way of retort;"
"2180"	"regigno"	"beget again;"
"2181"	"rego"	"rule, guide; manage, direct;"
"2182"	"rehendo"	"hold back, seize, catch; blame, reprove;"
"2183"	"reicio"	"throw back; drive back; repulse, repel; refuse, reject, scorn;"
"2184"	"rejicio"	"throw back; drive back; repulse, repel; refuse, reject, scorn;"
"2185"	"relanguesco"	"become faint, become weak; sink down;"
"2186"	"relego"	"read again, reread;"
"2187"	"relentesco"	"slacken off;"
"2188"	"relido"	"strike (back); refuse, reject; tear to pieces (Saxo), remove, rub out; destroy;"
"2189"	"relino"	"unseal;"
"2190"	"relinquo"	"leave behind, abandon; (pass.) be left, remain; bequeath;"
"2191"	"relucesco"	"grow bright again;"
"2192"	"remitto"	"send back, remit; throw back, relax, diminish;"
"2193"	"remollesco"	"become soft again; grow soft;"
"2194"	"renidesco"	"grow bright;"
"2195"	"rennuo"	"refuse; disapprove; decline; give a refusal; throw back head/eye/brows as sign;"
"2196"	"renuo"	"refuse; disapprove; decline; give a refusal; throw back head/eye/brows as sign;"
"2197"	"reparco"	"spare; be sparing; restrain;"
"2198"	"repecto"	"comb back;"
"2199"	"repello"	"drive/push/thrust back/away; repel/rebuff/spurn; fend off; exclude/bar; refute;"
"2200"	"repello"	"drive/push/thrust back/away; repel/rebuff/spurn; fend off; exclude/bar; refute;"
"2201"	"rependo"	"weigh/balance (against); weigh out/pat in return; purchase, compensate;"
"2202"	"reperco"	"spare, be sparing, abstain;"
"2203"	"reperco"	"spare, be sparing, abstain;"
"2204"	"repercutio"	"cause to rebound, reflect, strike against;"
"2205"	"repeto"	"return to; get back; demand back/again; repeat; recall; claim;"
"2206"	"repo"	"creep, crawl;"
"2207"	"repono"	"put back; restore; store; repeat;"
"2208"	"reposco"	"demand back; claim as one's due;"
"2209"	"reprehendo"	"hold back, seize, catch; blame;"
"2210"	"reprimo"	"press back, repress; check, prevent, restrain;"
"2211"	"repromitto"	"guarantee, give one's word; promise (do/give, that); give formal undertaking;"
"2212"	"repuerasco"	"become a boy again; frolic;"
"2213"	"repungo"	"reprod; prod again;"
"2214"	"requiesco"	"quiet down; rest; end;"
"2215"	"requiro"	"require, seek, ask for; need; miss, pine for;"
"2216"	"resanesco"	"be healed;"
"2217"	"rescindo"	"cut out; cut down, destroy; annul; rescind;"
"2218"	"rescisco"	"learn, find out, ascertain; bring to light;"
"2219"	"rescribo"	"write back in reply;"
"2220"	"resido"	"sit down; settle; abate; subside, quieten down;"
"2221"	"resipio"	"have flavor of anything;"
"2222"	"resipisco"	"become reasonable again; recover/come to the senses, come to, revive, recover;"
"2223"	"resipisco"	"become reasonable again; recover/come to the senses, come to, revive, recover;"
"2224"	"resisto"	"pause; continue; resist, oppose; reply; withstand, stand (DAT); make a stand;"
"2225"	"resolvo"	"loosen, release, disperse, melt; relax; pay; enervate, pay back; break up;"
"2226"	"respergo"	"sprinkle, spatter;"
"2227"	"respicio"	"look back at; gaze at; consider; respect; care for, provide for;"
"2228"	"respuo"	"reject, spit, spew out; turn away, repel; reject, destain, spurn, refuse;"
"2229"	"restinguo"	"extinguish, quench, put out; exterminate, destroy; assuage, allay, mitigate;"
"2230"	"restituo"	"restore; revive; bring back; make good;"
"2231"	"restringo"	"draw tight; fasten behind one, tie up;"
"2232"	"resumo"	"pick up again; resume; recover;"
"2233"	"resurgo"	"rise/appear again; rare up again, lift oneself, be restored/rebuilt, revive;"
"2234"	"retego"	"uncover, lay bare, reveal, disclose;"
"2235"	"retendo"	"slacken; relax; unbend (bow); free from tension; hold back (?);"
"2236"	"retendo"	"slacken; relax; unbend (bow); free from tension; hold back (?);"
"2237"	"retexo"	"undo/reverse/cancel; retrace/go back over; retract; unravel/unweave; break down;"
"2238"	"retraho"	"draw back, withdraw; make known again, divert; bring back;"
"2239"	"retribuo"	"hand back duly (money owed); recompense (Vulgate); render; reward;"
"2240"	"retroago"	"drive back, reverse;"
"2241"	"retrotraho"	"refer back;"
"2242"	"retundo"	"blunt; weaken; repress, quell;"
"2243"	"retundo"	"blunt; weaken; repress, quell;"
"2244"	"revalesco"	"grow well again;"
"2245"	"reveho"	"carry/bring back; ride/sail back (PASS);"
"2246"	"revello"	"tear/pull away/loose/out/from/down/up; wrench off; remove (person);"
"2247"	"revello"	"|raise/pull up (skin); pluck away/loose (L+S); open (vein); violate/disturb;"
"2248"	"revello"	"tear away/loose/out/from/down/up; wrench off; remove; raise/pull up/back (skin);"
"2249"	"revello"	"|raise/pull up (skin); pluck away/loose (L+S); open (vein); violate/disturb;"
"2250"	"reverto"	"turn back, go back, return; recur (usually DEP);"
"2251"	"revinco"	"conquer, crush, disprove;"
"2252"	"reviresco"	"grow green again; grow strong or young again;"
