"third_conj_not_dep_presentStem"	"third_conj_not_dep___meaning"
"172"	"adspicio"	"look/gaze on/at, see, observe, behold, regard; face; consider, contemplate;"
"173"	"adspuo"	"spit (at/on);"
"174"	"adsterno"	"prostrate oneself, lie prone (on);"
"175"	"adstituo"	"place near/before; make to stand before;"
"176"	"adstrepo"	"make a noise at, shout in support, take up a cry; assail with noise; murmur;"
"177"	"adstrido"	"hiss (at);"
"178"	"adstringo"	"tie up/down/back/on/together/tightly; bind, grasp, tighten, fix; form boundary;"
"179"	"adstringo"	"|oblige, commit; compress, narrow, restrict; knit (brows); freeze, solidify;"
"180"	"adstruo"	"build on/additional structure; heap/pile (on); add to/on, contribute, provide;"
"181"	"adsubrigo"	"stretch up, raise;"
"182"	"adsudesco"	"sweat, break out in a sweat;"
"183"	"adsuefacio"	"accustom (to), habituate, inure; make accustomed/used (to), train;"
"184"	"adsuesco"	"accustom, become/grow accustomed to/used to/intimate with; make familiar;"
"185"	"adsugo"	"suck towards;"
"186"	"adsumo"	"take (to/up/on/from), adopt/raise, use; assume/receive; insert/add; usurp/claim;"
"187"	"adsuo"	"sew or patch on;"
"188"	"adsurgo"	"rise/stand up, rise to one's feet/from bed; climb, lift oneself; grow; soar;"
"189"	"adsuscipo"	"undertake (vows);"
"190"	"adtendo"	"turn/stretch towards; apply; attend/pay (close) attention to, listen carefully;"
"191"	"adtero"	"rub, rub against; grind; chafe; wear out/down/away; diminish, impair; waste;"
"192"	"adtexo"	"add, join on, link to; weave/plait on, attach by weaving;"
"193"	"adtigo"	"touch, touch/border on; reach, arrive at, achieve; mention briefly; belong to;"
"194"	"adtingo"	"touch, touch/border on; reach, arrive at, achieve; mention briefly; belong to;"
"195"	"adtingo"	"wipe/smear on?;"
"196"	"adtinguo"	"moisten, bedew, sprinkle with a liquid;"
"197"	"adtollo"	"raise/lift up/towards/to a higher position; erect, build; exalt; extol, exalt;"
"198"	"adtraho"	"attract, draw/drag together/in/before/along; inhale; gather saliva; bend (bow);"
"199"	"adtremo"	"tremble (at) (w/DAT);"
"200"	"adtribuo"	"assign/allot/attribute/impute to; grant, pay; appoint, put under jurisdiction;"
"201"	"adtulo"	"bring/carry/bear to;"
"202"	"aduro"	"scorch, singe; burn; consume in fire;"
"203"	"adveho"	"carry, bring, convey (to); [advehor => arrive by travel, ride to];"
"204"	"adverro"	"cause to sweep over;"
"205"	"adverto"	"turn/face to/towards; direct/draw one's attention to; steer/pilot (ship);"
"206"	"advesperasct"	"evening is coming on, it draws toward evening; it is growing dark;"
"207"	"advivo"	"live with (w/cum); survive, be alive;"
"208"	"advolvo"	"roll to/towards; fall on knees (genibus advolvor), grovel, prostrate oneself;"
"209"	"advorto"	"turn/face to/towards; direct/draw one's attention to; steer/pilot (ship);"
"210"	"aedifacio"	"build, erect, construct, make; create; establish;"
"211"	"aegresco"	"become sick, grow worse; suffer mental/emotional distress, grieve;"
"212"	"afficio"	"affect, make impression; move, influence; cause (hurt/death), afflict, weaken;"
"213"	"affigo"	"fasten/fix/pin/attach to (w/DAT), annex; impress upon; pierce; chain, confine;"
"214"	"affingo"	"add to, attach; aggravate; embellish, counterfeit, forge; claim wrongly;"
"215"	"affligo"	"overthrow/throw down; afflict, damage, crush, break, ruin; humble, weaken, vex;"
"216"	"affluo"	"flow on/to/towards/by; glide/drift quietly; flock together, throng; abound;"
"217"	"affodio"	"add by digging;"
"218"	"affrango"	"cause to be broken against, crush/strike/break against; break in pieces;"
"219"	"affremo"	"roar/rage/growl (at); assent noisily to (w/DAT);"
"220"	"affringo"	"cause to be broken against, crush/strike/break against; break in pieces;"
"221"	"affundo"	"pour on/upon/into, heap up; shed/spill (blood); wash;"
"222"	"affuo"	"flow/stream/issue (from), flow away; abound in (w/ABL), be abundant, abound;"
"223"	"afluo"	"flow/stream/issue (from), flow away; abound in (w/ABL), be abundant, abound;"
"224"	"agero"	"take away, remove;"
"225"	"aggemo"	"groan in conjunction/sympathy (with);"
"226"	"aggero"	"heap/cover up over, pile/build up, erect; accumulate; intensify, exaggerate;"
"227"	"aggravesco"	"become heavy; become severe/dangerous (illness), grow worse; be aggravated;"
"228"	"aggredio"	"approach, advance; attack, assail; undertake, seize (opportunity), attempt;"
"229"	"agnosco"	"recognize, realize, discern; acknowledge, claim, admit to/responsibility;"
"230"	"ago"	"drive/urge/conduct/act; spend (time w/cum); thank (w/gratias); deliver (speech);"
"231"	"albesco"	"become white/pale/light-colored/white with age; become bright, gleam, glow;"
"232"	"albicasco"	"grow bright;"
"233"	"alesco"	"be nourished; grow up; increase (late Latin);"
"234"	"algesco"	"catch cold; become cold (things);"
"235"	"allambo"	"lick (of flames); touch;"
"236"	"allego"	"choose, admit, elect, recruit, select, appoint;"
"237"	"allibesco"	"be pleasing, gratify; be roused with desire (for);"
"238"	"allicefacio"	"entice, allure; attract, lure, seduce;"
"239"	"allicio"	"draw gently to, entice, lure, induce (sleep), attract, win over, encourage;"
"240"	"allido"	"dash/crush against, bruise; ruin, damage; shipwreck; (PASS) suffer damage;"
"241"	"allino"	"smear/spread/dash over (W/DAT); spread out on; adhere to;"
"242"	"allubesco"	"be pleasing, gratify; be roused with desire (for);"
"243"	"alludo"	"frolic/play/sport around/with, play against; jest, make mocking allusion to;"
"244"	"alluo"	"wash/flow past/near/against, lap; beset; bathe (pers.) (tears); deposit silt;"
"245"	"alo"	"feed, nourish, rear, nurse, suckle; cherish; support, maintain, develop;"
"246"	"alo"	"feed, nourish, rear, nurse, suckle; cherish; support, maintain, develop;"
"247"	"amaresco"	"become bitter;"
"248"	"amasco"	"begin to love;"
"249"	"ambadedo"	"eat/gnaw around; eat up entirely;"
