angust	narrow, reduce width/size/amount, constrict, limit; choke, crowd together/hamper
anhel	pant, gasp; breathe/gasp out, belch forth, exhale; utter breathlessly;
anim	animate, give/bring life; revive, refresh; rouse, animate; inspire; blow;
annat	swim to/up to; swim beside/alongside;
annavig	sail to/up to/towards; sail beside/alongside;
anneg	refuse; withhold;
annict	wink to/at; blink at;
annihil	annihilate, destroy, demolish, ruin, bring to nothing;
ann	swim to/towards, approach by swimming; sail to/towards; brought by sea (goods);
ann	pass/live through a year;
annod	cut (shoot) right back, cut flush; cut off knots, cut away suckers;
annot	note/jot down, notice, become aware; mark, annotate; record, state; designate;
annubil	bring up clouds (against);
annull	annihilate, obliterate, destroy; annul (eccl.);
annumer	count (in/out), pay; reckon (time); enumerate, run through; classify as; add;
annunti	announce, say, make known; report, bring news; prophesy/announce before; preach;
annut	nod (to); order/assent to by a nod; bow to;
antevi	go before, precede;
antevol	fly in front of/before;
anticip	occupy beforehand; anticipate, get the lead, get ahead of; have preconception;
antiqu	reject (bill); vote for the rejection;
antist	stand before; surpass, excel, be superior to;
antist	surpass, excel, be superior to; stand before;
anto	requite;
antru	dance around (at Salian religious festivals);
apert	bare, expose, lay bare;
apocul	go away, remove oneself, leave;
apolactiz	kick away, spurn;
apolog	spurn, reject;
apostat	fall away (from), apostatize, forsake one's religion;
apothec	store, lay up in a storehouse;
apozym	make ferment;
appar	prepare, fit out, make ready, equip, provide; attempt; organize (project);
appector	press/clasp to the breast;
appellit	call or name (frequently or habitually);
appell	call (upon); address; dun; solicit; appeal (to); bring to court; accuse; name;
applic	apply, put in practice;
applic	connect, place near, bring into contact; land (ship); adapt; apply/devote to;
applic	connect, place near, bring into contact; land (ship); adapt; apply/devote to;
applor	lament, weep at/on account of; deplore (thing);
applumb	solder, solder on, affix by soldering, close/seal by soldering/with solder;
apport	carry/convey/bring (to); import; present (play); bring (news); make one's way;
appostul	beg/entreaty/solicit importunately/persistently/troublesomely/pressingly;
appreci	value/prize, set/estimate price, appraise; purchase/buy; appropriate to self;
apprens	snatch at;
appreti	value/prize, set/estimate price, appraise; purchase/buy; appropriate to self;
approb	approve, commend, endorse; prove; confirm; justify; allow; make good;
appron	lean forwards;
approper	hasten, hurry, come hastily, make haste; accelerate, speed up;
appropinqu	approach (w/DAT or ad+ACC); come near to, draw near/nigh (space/time); be close;
appropi	approach (w/DAT or ad+ACC); come near to, draw near/nigh (space/time); be close;
appropri	appropriate, make one's own;
approxim	be/draw/come close/near to, approach;
appugn	attack, assault;
apsent	send away, cause one to be absent; be absent;
apson	have harsh/discordant/unpleasant sound;
apst	stand at a distance, stand off; keep at a distance;
apt	adapt, fit, apply, adjust, accommodate; put on, fasten; prepare, furnish;
aratr	plow in (young grain to improve the yield), plow (after sowing);
arbust	plant (with trees), forest, reforest;
arct	wedge in, fit/close firmly; tighten/compress/abridge/contract; pack/limit/cramp;
arcu	bend into the shape of a bow/arch;
ariet	butt like a ram, batter/buffet, harass; strike violently; collide; stumble/trip;
ariol	divine; foretell, prophesy; use divination;
arm	equip, fit with armor; arm; strengthen; rouse, stir; incite war; rig (ship);
ar	plow, till, cultivate; produce by plowing, grow; furrow, wrinkle;
aromatiz	smell of spice; make aromatic/fragrant/sweet smelling (Ecc);
arrami	arraign; indict, accuse;
arremig	row up to/towards;
arrest	arrest; seize;
arrig	water (plants), moisten the soil around;
arrog	ask, question; arrogate to one's self, claim, make undue claim; confer (upon);
arrog	|adopt (an adult) as one's son (esp. at his instance);
arror	moisten, bedew;
articul	divide into distinct parts, articulate;
art	wedge in, fit/close firmly, tighten; compress, abridge; pack, limit, cramp;
artr	plow (in young grain to improve the yield), plow (after sowing);
artr	plow in young grain to improve the yield;
asci	chop/slice with a trowel;
aspect	look/gaze at/upon; observe, watch; pay heed; face/look towards (place/person);
asper	roughen; sharpen, point, tip; enrage, make fierce/violent; grate on; aggravate;
aspir	breathe/blow (upon); aspirate; instill, infuse; be fragrant; influence; aspire;
asport	carry/take away, remove;
asserv	keep/guard/preserve; watch/observe; keep in custody; rescue/save life; reserve;
assever	act earnestly; assert strongly/emphatically, declare; profess; be serious;
assibil	hiss out (breath) upon (w/DAT); murmur/whisper to/at (L+S);
assicc	dry, dry out, dry up, make dry;
assidu	apply constantly; make constant use of (Souter); use regularly/incessantly;
assignific	show (w/ACC + INF), make evident; mean/denote (words);
assign	assign, distribute, allot; award, bestow (rank/honors); impute; affix seal;
assimul	make like; compare; counterfeit, simulate, imitate, pretend, feign, act a part;
ass	roast, bake, broil; dry;
associ	join/attach (to), associate/work (with); unite with; attend upon; escort (Ecc);
assol	level to the ground, destroy;
asson	respond, reply; sound in accompaniment; sing as an accompaniment;
assult	jump/leap at/towards/upon; dash against; attack, assault, make an attack (on);
assuspir	sigh in response (to) (w/DAT);
ast	stand at/on/by; assist; stand up/upright/waiting/still, stand on one's feet;
astrangul	strangle;
astrific	make/produce stars;
ategr	pour out wine in sacrifices;
atopt	adopt, select, secure, pick out; wish/name for oneself; adopt legally;
attamin	touch, attack, rob; dishonor, defile, contaminate;
attegr	pour out wine in sacrifices;
attemper	fit, adjust, accommodate;
