"","","secondColumnOut"
"392","istis","4th perfect indicative active 2ndPerson plural"
"393","erunt","4th perfect indicative active 3rdPerson plural"
"394","eram","4th pluperfect indicative active 1stPerson singular"
"395","eras","4th pluperfect indicative active 2ndPerson singular"
"396","erat","4th pluperfect indicative active 3rdPerson singular"
"397","eramus","4th pluperfect indicative active 1stPerson plural"
"398","eratis","4th pluperfect indicative active 2ndPerson plural"
"399","erant","4th pluperfect indicative active 3rdPerson plural"
"400","ero","4th future perfect indicative active 1stPerson singular"
"401","eris","4th future perfect indicative active 2ndPerson singular"
"402","erit","4th future perfect indicative active 3rdPerson singular"
"403","erimus","4th future perfect indicative active 1stPerson plural"
"404","eritis","4th future perfect indicative active 2ndPerson plural"
"405","erint","4th future perfect indicative active 3rdPerson plural"
"406","erim","4th perfect subjunctive active 1stPerson singular"
"407","eris","4th perfect subjunctive active 2ndPerson singular"
"408","erit","4th perfect subjunctive active 3rdPerson singular"
"409","erimus","4th perfect subjunctive active 1stPerson plural"
"410","eritis","4th perfect subjunctive active 2ndPerson plural"
"411","erint","4th perfect subjunctive active 3rdPerson plural"
"412","issem","4th pluperfect subjunctive active 1stPerson singular"
"413","isses","4th pluperfect subjunctive active 2ndPerson singular"
"414","isset","4th pluperfect subjunctive active 3rdPerson singular"
"415","issemus","4th pluperfect subjunctive active 1stPerson plural"
"416","issetis","4th pluperfect subjunctive active 2ndPerson plural"
"417","issent","4th pluperfect subjunctive active 3rdPerson plural"
"418","isse","1st perfect infinitive active"
"419","isse","2nd perfect infinitive active"
"420","isse","3rd perfect infinitive active"
"421","isse","4th perfect infinitive active"
