"","V1","V2"
"2292","meridiat","take a siesta;"
"2293","mersat","dip (in), immerse; overwhelm, drown;"
"2294","migrat","transport; move; change residence/condition; go away; depart; remove;"
"2295","militat","serve as soldier, perform military service, serve in the army; wage/make war;"
"2296","ministrat","attend (to), serve, furnish; supply;"
"2297","minitat","threaten (to), use threats; constitute a danger/threat; hold out as a threat;"
"2298","minat","drive (animals); impel, push, force; threaten?;"
"2299","minorat","reduce, make less;"
"2300","miat","make water, urinate;"
"2301","mirificat","exalt, magnify, make wonderful;"
"2302","mirat","be amazed/surprised/bewildered (at); look in wonder/awe/admiration at;"
"2303","mirat","|admire/revere; wonder; marvel at;"
"2304","miserat","pity, feel sorry for; view with compassion; (vocal sorrow/compassion);"
"2305","missitat","send repeatedly;"
"2306","mitigat","soften; lighten, alleviate; soothe; civilize;"
"2307","mobilitat","set in motion;"
"2308","moderat","check, slow down, control;"
"2309","modificat","limit; control; observe due measure;"
"2310","moestificat","grieve, make sad/sorrowful, sadden;"
"2311","moestat","grieve, make sad; afflict (L+S);"
"2312","molestat","disturb, vex, annoy, worry, trouble;"
"2313","moltat","punish, fine; extract as forfeit; sentence to pay;"
"2314","monetat","coin; mint;"
"2315","monstrat","show; point out, reveal; advise, teach;"
"2316","morigerat","be compliant/indulgent to; gratify; humor;"
"2317","mortificat","kill; destroy; mortify, subdue, reduce to weakness;"
"2318","motat","set in motion, shake, stir, etc;"
"2319","mulcat","beat up, thrash, cudgel; worst, treat roughly;"
"2320","mulctat","punish, fine; extract as forfeit; sentence to pay;"
"2321","multiplicat","multiply; repeat; increase (number/quantity/extent); have/use on many occasions;"
"2322","multat","punish, fine; extract as forfeit; sentence to pay;"
"2323","mundat","clean, cleanse, make clean/tidy; (eccl. - ceremonially/spiritually);"
"2324","munerat","give, present;"
"2325","murmurat","hum, murmur, mutter; roar;"
"2326","mussitat","mutter/whisper, talk in subdued tones; keep quiet/say nothing (about);"
"2327","mussat","mutter/whisper (discontently); hum (bee); keep quiet (about); hem/haw; hesitate;"
"2328","mutilat","maim, mutilate; lop/cut/chop off, crop; cut short;"
"2329","mutat","move, change, shift, alter, exchange, substitute (for); modify;"
"2330","mutuat","lend; exchange;"
"2331","narrat","tell, tell about, relate, narrate, recount, describe;"
"2332","nartat","ski;"
"2333","natat","swim; float;"
"2334","naturat","produce naturally;"
"2335","naufragat","be shipwrecked;"
"2336","nauseat","be sea-sick; feel sick;"
"2337","nausiat","be sea-sick; feel sick;"
"2338","navigat","sail; navigate;"
"2339","navat","do with zeal; [operam navare => do one's best];"
"2340","necessat","render/make necessary;"
"2341","necat","kill/murder; put to death; suppress, destroy; kill (plant); quench/drown (fire);"
"2342","nect","kill/murder; put to death; suppress, destroy; kill (plant); quench/drown (fire);"
"2343","negitat","deny or refuse repeatedly;"
"2344","negat","deny, refuse; say ... not;"
"2345","negotiat","carry on business; trade;"
"2346","neutralizat","neutralize;"
"2347","nictat","blink;"
"2348","nidificat","build a nest;"
"2349","nigrat","be black; make black;"
"2350","nobilitat","make known/noted/renown; render famous/notorious; ennoble; make more majestic;"
"2351","nodat","tie in a knot/knots;"
"2352","nominitat","name, term;"
"2353","nominat","name, call;"
"2354","noscitat","recognize; be acquainted with;"
"2355","notat","observe; record; brand; write, inscribe;"
"2356","novellat","plant nurseries;"
"2357","novat","make new, renovate; renew, refresh, change;"
"2358","nudat","lay bare, strip; leave unprotected;"
"2359","numerat","count, add up, reckon/compute; consider; relate; number/enumerate, catalog; pay;"
"2360","nunciat","announce/report/bring word/give warning; convey/deliver/relate message/greeting;"
"2361","nuncupat","call, name; express;"
"2362","nuntiat","announce/report/bring word/give warning; convey/deliver/relate message/greeting;"
"2363","nutat","waver, give way;"
"2364","nutricat","nurse/suckle; raise/rear/bring up; nourish/promote growth/well being; cherish;"
"2365","obambulat","walk up to, so as to meet; traverse;"
"2366","obarmat","arm;"
"2367","obarat","plow up;"
"2368","obductat","lead in rivalry;"
"2369","obdurat","be hard, persist, endure;"
"2370","obequitat","ride up to;"
"2371","obfirmat","secure; bolt, lock, fasten, bar; be determined/inflexible; persevere in;"
"2372","obfuscat","darken; obscure; E:vilify;"
"2373","objectat","expose/throw (to); throw/put in the way; lay to one's charge, put before;"
"2374","objurgat","scold, chide, reproach;"
"2375","oblaqueat","dig around tree-roots; E:surround, encircle;"
"2376","oblatrat","bark at (+DAT or +ACC);"
"2377","oblectat","delight, please, amuse;"
"2378","obligat","bind, oblige;"
"2379","oblimat","cover/fill with mud; silt up; clog;"
"2380","oblinat","smear over;"
"2381","obliterat","cause to be forgotten/fall into disuse/to disappear; assign to oblivion;"
"2382","oblitterat","cause to be forgotten/fall into disuse/to disappear; assign to oblivion;"
"2383","obmurmurat","murmur in protest (at);"
"2384","obnubilat","obscure, render dark/obscure; darken/cloud/fog (the mind); render unconscious;"
"2385","obnuntiat","announce adverse omens;"
"2386","obreptat","creep up on, approach stealthily;"
"2387","obrogat","abrogate; oppose passage of law; partly repeal law;"
"2388","obsaturat","sate, glut;"
"2389","obscurat","darken, obscure; conceal; make indistinct; cause to be forgotten;"
"2390","obsecrat","entreat/beseech/implore/pray; (w/deity as object); [fidem ~ => beg support];"
"2391","obsecundat","obey, show obedience; comply with, be compliant, humor; fall in with, follow;"
"2392","obserat","bolt, fasten, place a bar across; bar, prohibit access to; shot off, enclose;"
"2393","observitat","observe; watch carefully;"
"2394","observat","watch, observe; heed;"
"2395","obsetricat","assist in childbirth, perform the office of a midwife, provide obstetric care;"
"2396","obsignat","sign, seal;"
"2397","obsonat","buy food, get/purchase provisions/(things for meal); go shopping; feast/banquet;"
"2398","obstetricat","assist in childbirth, perform the office of a midwife, provide obstetric care;"
"2399","obstinat","be determined on;"
"2400","obtemperat","obey; comply with the demands of; be submissive to; (w/DAT);"
"2401","obtenebrat","darken, make dark; obscure, conceal (Saxo);"
"2402","obtrectat","detract from; disparage, belittle;"
"2403","obtruncat","kill; cut down;"
"2404","obturat","stop up;"
"2405","obumbrat","overshadow, darken; conceal; defend;"
"2406","obviat","meet (with dat.);"
"2407","occaecat","blind; blot out the light of day, darken; obscure, bury, conceal; seal/stop up;"
"2408","occentat","sing a serenade to; sing a lampoon against;"
"2409","occat","harrow (ground);"
"2410","occubit","lie (against/on top of); lie dead;"
"2411","occulcat","trample down;"
"2412","occultat","hide; conceal;"
"2413","occupat","seize; gain; overtake; capture, occupy; attack;"
"2414","occurat","occur, come about; happen;"
"2415","occursat","run repeatedly or in large numbers; mob; obstruct;"
"2416","odorat","perfume, make fragrant;"
"2417","offensat","knock/strike against, bump into;"
"2418","offerat","offer; present; cause; bestow; (medieval form of offerre);"
"2419","offirmat","secure; bolt, lock, fasten, bar; be determined/inflexible; persevere in;"
"2420","offocat","choke, throttle;"
"2421","offucat","choke, throttle;"
"2422","olefactat","smell, sniff, perceive, detect; smell/sniff at;"
"2423","olfactat","smell, sniff, perceive, detect; smell/sniff at;"
"2424","onerat","load, burden; oppress;"
"2425","opacat","shade, overshadow;"
"2426","operat","work; operate (math.);"
"2427","oppilat","stop up, block;"
"2428","opprobrat","taunt, reproach;"
"2429","oppugnat","attack, assault, storm, besiege;"
"2430","opreptat","creep up on, approach stealthily;"
"2431","opsecrat","entreat/beseech/implore/pray; (w/deity as object); [fidem ~ => beg support];"
"2432","opsecundat","obey, show obedience; comply with, be compliant, humor; fall in with, follow;"
"2433","opsonat","buy food, get/purchase provisions/(things for meal); go shopping; feast/banquet;"
"2434","opstetricat","assist in childbirth, perform the office of a midwife, provide obstetric care;"
"2435","optemperat","obey; comply with the demands of; be submissive to; (w/DAT);"
"2436","optat","choose, select; wish, wish for, desire;"
"2437","orbat","bereave (of parents, children, etc), deprive (of);"
"2438","ordinat","order/arrange, set in order; adjust, regulate; compose; ordain/appoint (Bee);"
"2439","organizat","organize;"
"2440","ornat","equip; dress; decorate, honor; furnish, adorn, garnish, trim;"
"2441","orat","beg, ask for, pray; beseech, plead, entreat; worship, adore;"
"2442","ortat","procreate; give birth/rise to; beget; engender/produce/generate (offspring);"
"2443","ostentat","show, display; point out, declare; disclose, hold out (prospect);"
"2444","ovat","rejoice;"
"2445","oxydat","oxidize;"
"2446","pacificat","make peace, conclude peace; grant peace; pacify, appease;"
"2447","pacat","pacify, subdue;"
"2448","paedicat","commit sodomy/pederasty with, practice unnatural vice upon;"
"2449","paedicat","perform anal intercourse; commit sodomy with;"
"2450","palificat","make evident;"
"2451","palliat","disguise; cloak; palliate;"
"2452","palpitat","throb, beat, pulsate;"
"2453","palpat","stroke; coax, flatter, wheedle;"
"2454","pampinat","trim (vines);"
"2455","pappat","eat;"
"2456","paratragoedat","talk theoretically;"
"2457","parentat","perform rites at tombs; make appeasement offering (to the dead);"
"2458","pariat","acquire (accounts); settle a debt; settle up;"
"2459","paritat","make ready;"
"2460","parat","prepare; furnish/supply/provide; produce; obtain/get; buy; raise; put up; plan;"
"2461","participat","share; impart; partake of; participate in;"
"2462","pastinat","prepare (ground) by digging and leveling;"
"2463","patinat","skate;"
"2464","patrizat","take after one's father;"
"2465","patrat","accomplish, bring to completion;"
"2466","pauperat","make poor, deprive;"
"2467","pausat","pause; halt; cease;"
"2468","peccat","sin; do wrong, commit moral offense; blunder, stumble; be wrong;"
"2469","peccat","|make mistake; make slip in speaking; act incorrectly; go wrong, be faulty;"
"2470","pedicat","perform anal intercourse; commit sodomy with;"
"2471","peiorat","aggravate;"
"2472","peiurat","swear falsely; perjure oneself; (see also peiero);"
"2473","pejerat","swear falsely; swear false oath; lie;"
"2474","pejurat","swear falsely; swear false oath; lie;"
"2475","penetrat","enter, penetrate;"
"2476","pensitat","weigh/ponder/consider; compare (with); pay/be subject to tax; bring in income;"
"2477","pensat","weigh (out); pay/punish for; counterbalance, compensate; ponder, examine;"
"2478","peraequat","equalize; make quite equal;"
"2479","peragitat","harass with repeated attacks;"
"2480","peragrat","travel over every part of, scour;"
"2481","perambulat","walk about in, tour; make the round of;"
"2482","peramat","persevere in love;"
"2483","perarat","furrow; inscribe (scratch on a waxen tablet);"
"2484","percelebrat","make thoroughly known;"
"2485","percurat","heal completely;"
"2486","percursat","rove about;"
"2487","percutat","affect deeply;"
"2488","perdolat","hack, hew into shape, fashion by hewing/hacking;"
"2489","perdomit","tame/subdue thoroughly, break in (animals); conquer/subjugate completely;"
"2490","perdomit","|crush (grain)/knead (dough) thoroughly; work/break up (soil) thoroughly;"
"2491","perductat","guide;"
"2492","perdurat","last long, endure;"
"2493","perennat","last many years;"
"2494","perequitat","ride through; ride around;"
"2495","pererrat","wander through, roam or ramble over;"
"2496","perflat","blow through or over;"
"2497","perfluctuat","flow through;"
"2498","perforat","bore/pierce/make a hole/passage/break in/through; bore/pierce/stab/perforate;"
"2499","perfrict","rub all over; rub smooth; [~ os/frontem/facium => wipe off blush/abandon shame];"
"2500","perfricat","rub all over; rub smooth; [~ os/frontem/facium => wipe off blush/abandon shame];"
"2501","perjurat","swear falsely;"
"2502","perlibrat","make level;"
"2503","perlitat","make auspicious sacrifice;"
"2504","perlustrat","go or wander all through; view all over, scan, scrutinize;"
"2505","permanat","flow through; leak through; permeate;"
"2506","permaturat","become quite ripe;"
"2507","permeat","go or pass through, cross, traverse; pervade;"
"2508","permutat","exchange (for); swap;"
"2509","pernegat","deny completely; refuse completely;"
"2510","pernoctat","spend the night; occupy the night (w/person or in place); guard all night;"
"2511","pernumerat","count up; reckon;"
"2512","perornat","adorn highly/greatly;"
"2513","perorat","deliver the final part of a speech, conclude;"
"2514","perpacat","subdue completely;"
"2515","perpetrat","carry through, accomplish;"
"2516","perpotat","drink heavily; drink up;"
"2517","perpurgat","purge well; clear up; explain fully;"
"2518","perreptat","crawl through, crawl about;"
"2519","perrogat","ask/question/solicit in turn; L:propose/pass a law; carry (bill);"
"2520","persalutat","salute/greet in turn;"
"2521","persanat","cure completely;"
"2522","persecat","dissect; cut up;"
"2523","perseverat","persist, persevere; continue;"
"2524","persignat","note down; record;"
"2525","personificat","personify;"
"2526","personat","make loud/continuous/pervasive noise/loud music; ring/resound; chant/shout out;"
"2527","personit","make loud/continuous/pervasive noise/loud music; ring/resound; chant/shout out;"
"2528","perspectat","look through to end; examine closely;"
"2529","perstimulat","stimulate violently;"
"2530","perstat","stand firm; last, endure; persevere, persist in;"
"2531","persultat","leap or skip or prance about, range (over), scour;"
"2532","pertemptat","test, try out; explore thoroughly; agitate thoroughly;"
"2533","pertentat","test, try out; explore thoroughly; agitate thoroughly;"
"2534","perterebrat","bore through;"
"2535","perterritat","frighten thoroughly/greatly, terrify;"
"2536","pertolerat","endure;"
"2537","perturbat","confuse, throw into confusion; disturb, perturb, trouble; alarm;"
"2538","pervastat","devastate completely;"
"2539","pervestigat","make a thorough search of; explore fully;"
"2540","pervigilat","remain awake all night; keep watch all night; keep a religious vigil;"
"2541","pervolgat","proclaim; spread abroad; (pervulo);"
"2542","pervolitat","flit across; fly repeatedly over/through; move rapidly through space/heavens;"
"2543","pervolat","fly or flit through; wing one's way; move rapidly through the air;"
"2544","pervolat","fly through; fly;"
"2545","pervolutat","roll about; be busied with;"
"2546","pervulgat","make publicly known, spread abroad;"
"2547","pessimat","ruin, debase; spoil completely, make utterly bad; harm, injure, bring calamity;"
"2548","possumdat","destroy, ruin; sink, send to the bottom; put an end to; do away with, remove;"
"2549","possundat","destroy, ruin; sink, send to the bottom; put an end to; do away with, remove;"
"2550","phantasiat","imagine, fancy;"
"2551","phlebotomat","let blood; bleed;"
"2552","photocopiat","photocopy;"
"2553","photographat","photograph;"
"2554","physiculat","prophesy, foresee, divine;"
"2555","picat","smear with pitch;"
"2556","pignerat","pledge, pawn, give a pledge; bind/engage; guarantee/assure;"
"2557","pignorat","pledge, pawn, give a pledge; bind/engage; guarantee/assure;"
"2558","pigrat","hesitate; hang back;"
"2559","pilat","grow hairy; depilate; plunder;"
"2560","piat","appease, propitiate; cleanse, expiate;"
"2561","pipilat","twitter, chirp;"
"2562","pipiat","chirp, pipe;"
"2563","placitat","plead;"
"2564","placat","appease; placate; reconcile;"
"2565","plantat","propagate from cuttings; set out, transplant (L+S); fix in place; form, make;"
"2566","plasmat","form, mold, fashion;"
"2567","plegiat","pledge;"
"2568","plicat","fold (up), bend, flex; roll up; twine/coil; wind/fold together (L+S); double up;"
"2569","plicat","|multiply by X (only with numerical prefix), X-tuple; add together (L+S);"
"2570","plicit","fold (up), bend, flex; roll up; twine/coil; wind/fold together (L+S); double up;"
"2571","plipiat","screech; (emit the cry of the hawk);"
"2572","plat","multiply by X (only with numerical prefix), X-tuple, increase X fold;"
"2573","plorat","cry over, cry aloud; lament, weep; deplore;"
"2574","plumbat","solder, lead; make of lead;"
"2575","pompat","perform with pomp;"
"2576","ponderat","weigh; weigh up;"
"2577","populat","ravage, devastate, lay waste; plunder; despoil, strip;"
"2578","portat","carry, bring;"
"2579","postputat","consider less important; disregard;"
"2580","postulat","demand, claim; require; ask/pray for;"
"2581","potionat","give to drink;"
"2582","potitat","drink;"
"2583","potat","drink; drink heavily/convivially, tipple; swallow; absorb, soak up;"
"2584","pot","drink; drink heavily/convivially, tipple; swallow; absorb, soak up;"
"2585","praeambulat","walk before; precede;"
"2586","praecelerat","hasten before;"
"2587","praecellat","surpass; excel;"
"2588","praecentat","sing consolation for;"
"2589","praecipitat","throw headlong, cast down;"
"2590","praecontrectat","pre-consider; feel in advance;"
"2591","praedelassat","weary beforehand;"
"2592","praedestinat","predestine, predetermine, determine beforehand; provide beforehand;"
"2593","praedeterminat","fix beforehand;"
"2594","praedicat","proclaim/declare/make known/publish/announce formally; praise/recommend; preach;"
"2595","praedivinat","pre-divine; divine in advance;"
"2596","praedat","pillage, despoil, plunder; rob/ravish/take; acquire loot (robbery/war); catch;"
"2597","praedurat","harden; make very hard;"
"2598","praefestinat","be too hasty; hurry past;"
"2599","praeflorat","deprive of blossoms; diminish, lessen;"
"2600","praefocat","choke, suffocate;"
"2601","praegravat","weigh down, burden;"
"2602","praegustat","taste in advance;"
"2603","praejudicat","prejudge; decide beforehand;"
"2604","praejuvat","aid before; give aid previously;"
"2605","praelegat","pre-bequeath; bequeath before inheritance is divided;"
"2606","praeligat","pre-bind; tie around; tether;"
"2607","praemandat","pre-order;"
"2608","praememorat","mention first;"
"2609","praemicat","glitter forth;"
"2610","praeministrat","attend to; minister to;"
"2611","praenarrat","tell beforehand;"
"2612","praenatat","swim by; flow by;"
"2613","praenavigat","sail along; sail past;"
"2614","praenotat","mark before; note down; predict; L:entitle;"
"2615","praenuntiat","announce in advance;"
"2616","praeoccupat","seize upon beforehand; anticipate;"
"2617","praeoptat","prefer;"
"2618","praeparat","prepare;"
"2619","praeponderat","outweigh; be of more weight;"
"2620","praeportat","carry before;"
"2621","praeputiat","drawing out the foreskin/prepuce;"
"2622","praeradiat","outshine;"
"2623","praerogat","ask first; pay in advance;"
"2624","praesect","cut in front, cut;"
"2625","praesentat","present (to mind/senses), exhibit (to view), show (oneself); hold out; hand to;"
"2626","praestitus e","it is better;"
"2627","praestinat","buy; purchase;"
"2628","praestat","excel, surpass, be outstanding/superior/best/greater/preferable (to); prevail;"
"2629","praestat","|furnish/supply, make available, hand over; tender/offer/present; play part;"
"2630","praestat","||apply, bring to bear; fulfill, make good; keep word; be responsible for;"
"2631","praestit","excel, surpass, be outstanding/superior/best/greater/preferable (to); prevail;"
"2632","praestit","|furnish/supply, make available, hand over; tender/offer/present; play part;"
"2633","praestit","||apply, bring to bear; fulfill, make good; keep word; be responsible for;"
"2634","praesultat","dance/leap before/in front of;"
"2635","praetemptat","pre-test, try out in advance; feel/search/grope out beforehand;"
"2636","praetentat","allege; hold out as a reason;"
"2637","praeternavigat","sail by;"
"2638","praetervolat","fly past; slip by;"
"2639","praetrepidat","be hasty or impatient;"
"2640","praetruncat","cut off; clip;"
"2641","praevaricat","transgress, sin against; violate; be in collusion; be/walk crooked/not upright;"
"2642","praevitiat","precorrupt; corrupt in advance;"
"2643","praevolat","fly before;"
"2644","pravat","misrule; be crooked/bad/vicious/evil/corrupt; bend;"
"2645","preexistat","pre-exist; be previously;"
"2646","prehensat","grasp/clutch at/constantly; lay hold of; accost/buttonhole; canvass, solicit;"
"2647","prensat","grasp/clutch at/constantly; lay hold of; accost/buttonhole; canvass, solicit;"
"2648","pressat","press, squeeze;"
"2649","principiat","begin to speak; begin to peak (medieval);"
"2650","privat","deprive, rob, free;"
"2651","probat","approve (of), esteem/commend/recommend/certify; give assent/approval/sanction;"
"2652","probat","|let; show to be real/true; examine/test/try/prove/demonstrate; get accepted;"
"2653","proclamat","call/cry out, raise an outcry; appeal noisily; take claim to court; proclaim;"
"2654","proclinat","tilt forward; cause to totter;"
"2655","procorat","urge/press (w/commands/suits); woo, importune for one's hand; ask/demand (L+S);"
"2656","procrastinat","put off till the next day, postpone; delay;"
"2657","procreat","bring into existence, beget, procreate; produce, create;"
"2658","procubit","lie outstretched;"
"2659","proculcat","trample on;"
"2660","procurat","manage; administer; attend to;"
"2661","procursat","run frequently forward, dash out;"
"2662","prodeambulat","take a walk;"
"2663","profanat","desecrate, profane;"
"2664","profligat","overthrow, rout;"
"2665","proflat","blow out, exhale;"
"2666","progenerat","engender, produce;"
"2667","programmat","program (data processing);"
"2668","prolatat","lengthen, enlarge; prolong; put off, defer;"
"2669","prolectat","lure, entice;"
"2670","prolongat","prolong, extend, lengthen;"
"2671","promonat","emanate;"
"2672","promptat","distribute widely;"
"2673","promulgat","make known by public proclamation; publish;"
"2674","pronuntiat","announce; proclaim; relate; divulge; recite; utter;"
"2675","propagat","propagate; extend, enlarge, increase;"
"2676","propalat","stake out (like a plant); make visible/manifest;"
"2677","properat","hurry, speed up; be quick;"
"2678","prophetizat","prophesy, foretell, predict;"
"2679","prophetat","prophesy, foretell, predict;"
"2680","propinat","drink to anyone (his health), pledge; give to drink; hand over, yield up; make;"
"2681","propinquat","bring near; draw near;"
"2682","propitiat","propitiate, render favorable, win over; sooth (feelings);"
"2683","propugnat","fight (on the defensive);"
"2684","propulsat","repulse, drive back/off; ward off, repel, avert; pound, batter;"
"2685","prorogat","prolong, keep going; put off, defer;"
"2686","prospectat","gaze out (at); look out on;"
"2687","prosperat","cause to succeed, further;"
"2688","prostit","offer goods for sale to public; be on sale, expose for sale/prostitute oneself;"
"2689","protelat","drive/cause to retreat before one; drive forth, hound out, rout; beat back/off;"
"2690","protestat","testify, testify publicly, bear witness to; protest (L+S); assert (Bee);"
"2691","protuberat","swell/bulge out; grow forth; stand out (Sax);"
"2692","proturberat","bulge/swell out; grow forth; stand out (Sax); be prominent, project;"
"2693","proturbat","drive/push away/out of the way; drive out in confusion; repulse; pitch forward;"
"2694","provocat","call forth; challenge; provoke;"
"2695","provolat","fly forward; dash forth;"
"2696","provulgat","publish; make known;"
"2697","proximat","come/draw near, approach; be near;"
"2698","publicat","confiscate; make public property; publish;"
"2699","pugilat","box;"
"2700","pugnat","fight; dispute; [pugnatum est => the battle raged];"
"2701","pullulat","sprout, send forth new growth; spring forth;"
"2702","pulsat","beat; pulsate;"
"2703","pultat","knock, strike;"
"2704","pulverizat","pulverize;"
"2705","pumicat","polish/rub smooth with pumice stone; (esp. book);"
"2706","purgat","make clean, cleanse; excuse;"
"2707","purificat","purify/make ceremonially/ritually pure; clean/clear; free of dirt/encumbrances;"
"2708","putat","think, believe, suppose, hold; reckon, estimate, value; clear up, settle;"
"2709","pytissat","spit out wine; to spit out wine after tasting;"
"2710","quadrat","square up, make square/suitable; square/fit; quadruple; form rectangular shape;"
"2711","quadruplicat","quadruple; multiply by four;"
"2712","quaeritat","seek, search for;"
"2713","qualificat","qualify, invest with a quality/qualities;"
"2714","quassat","shake repeatedly; wave, flourish; batter; weaken;"
"2715","quinquiplicat","multiply by five;"
"2716","radicat","take root; grow roots;"
"2717","radiat","beam, shine; radiate light;"
"2718","raptat","drag violently off; ravage;"
"2719","rasitat","shave (off) habitually;"
"2720","ratificat","ratify;"
"2721","rationalizat","rationalize;"
"2722","rebellat","rebel, revolt;"
"2723","reboat","resound, re-echo; bellow back; call/cry in answer;"
"2724","recantat","charm away/back; withdraw, recall, revoke, recant;"
"2725","recapitulat","recapitulate, go over the main points again;"
"2726","receptat","recover; receive, admit (frequently);"
"2727","reciperat","restore, restore to health; refresh, recuperate;"
"2728","reciprocat","move backwards and forwards; (w/animam) to breathe;"
"2729","recitat","read aloud, recite; name in writing;"
"2730","reclamat","cry out in protest at;"
"2731","reclinat","bend back; [se reclinare => lean back, recline];"
"2732","recogitat","consider, reflect, think over; examine, inspect;"
"2733","recompensat","repay/recompense; compensate for misdeed/wrong; make up for injury/loss; reward;"
"2734","reconciliat","restore; reconcile;"
"2735","reconcinnat","repair; set right;"
"2736","reconflat","rekindle;"
"2737","recreat","restore, revive;"
"2738","rectificat","rectify, regulate, control, govern/direct by rule/regulation;"
"2739","recubit","lie down/back, recline, lie on the back;"
"2740","recuperat","regain, restore, restore to health; refresh, recuperate;"
"2741","recurat","cure, restore, refresh;"
"2742","recursat","keep rebounding/recoiling; keep recurring to the mind;"
"2743","recurvat","bend back;"
"2744","recusat","reject, refuse, refuse to; object; decline;"
"2745","redintegrat","renew; revive;"
"2746","redonat","give back again; forgive;"
"2747","redundat","overflow; be too numerous;"
"2748","reflat","blow back again;"
"2749","refocillat","revive, revivify; warm to life again; relieve (Ecc);"
"2750","refocilat","revive, revivify; warm to life again; relieve (Ecc);"
"2751","reformidat","dread; shun; shrink from; recoil at the sight of;"
"2752","reformat","transform, remold; form (new shape); restore;"
"2753","refrenat","curb, check; restrain;"
"2754","refricat","gall; excite again;"
"2755","refrigerat","make cool;"
"2756","refutat","check; refute;"
"2757","reglutinat","unstick; rejoin;"
"2758","regnat","reign, rule; be king; play the lord, be master;"
"2759","regustat","retaste; taste again;"
"2760","rejectat","throw back;"
"2761","relaxat","loosen, widen; relax;"
"2762","relegat","banish, remove; relegate;"
"2763","relevat","relieve/alleviate/diminish/lighten; ease/refresh; exonerate; raise; lift (eyes);"
"2764","religat","tie out of the way; bind fast; moor;"
"2765","remanat","flow back;"
"2766","remeat","go or come back, return;"
"2767","remigat","row, use oars;"
"2768","remigrat","move back; return;"
"2769","remunerat","reward, recompense, remunerate;"
"2770","remunerat","reward; repay, recompense, remunerate; requite; pay back, retaliate;"
"2771","remurmurat","remurmur; murmur back;"
"2772","renarrat","tell over again;"
"2773","renavigat","sail back;"
"2774","renodat","bind back; tie back;"
"2775","renovat","renew, restore; revive;"
"2776","renumerat","repay, pay back; pay out (that owed); report count of;"
"2777","renunciat","report, announce; reject; (also renuntio);"
"2778","renuntiat","report, announce; reject;"
"2779","renutat","refuse; decline;"
"2780","reparat","prepare again; renew, revive;"
"2781","repedat","return, go back; retire;"
"2782","replegiat","bail (person); recover security taken for court appearance;"
"2783","replicat","turn/fold/bend back (on); unroll (scroll); unwind (cable); go over and over;"
"2784","replicit","repeat; turn/fold/bend back (on); unroll, unwind; go over and over;"
"2785","reportat","carry back; report;"
"2786","repraesentat","represent, depict; show, exhibit, display; manifest; pay down, pay in cash;"
"2787","reprehensat","blamer; critic;"
"2788","reprobat","condemn; reject;"
"2789","reptat","crawl/creep (over); move slowly/lazily/furtively, stroll/saunter, slink, grope;"
"2790","repudiat","reject; repudiate; scorn;"
"2791","repugnat","fight back, oppose; be incompatible with; disagree with;"
"2792","repulsat","drive back; reject;"
"2793","repuat","reject;"
"2794","repurgat","recleanse; clear again; purge away;"
"2795","reputat","think over, reflect;"
"2796","requiritat","inquire repeatedly; keep asking after;"
"2797","resacrat","implore again and again; free from a curse;"
"2798","resalutat","greet back; greet in return;"
"2799","resect","cut back, trim; reap, cut short;"
"2800","resecrat","implore again and again; free from a curse;"
"2801","reseminat","reproduce;"
"2802","reserat","open up, unseal, unbar (gate/door), unfasten; make accessible; uncover, expose;"
"2803","reservat","reserve; spare; hold on to;"
"2804","resignat","unseal; open; resign;"
"2805","resonat","resound;"
"2806","respectat","keep on looking round or back; await; have regard for;"
"2807","respirat","breathe out; take breath; enjoy a respite;"
"2808","responsitat","give advice;"
"2809","responsat","answer, reply (to); reecho;"
"2810","restagnat","overflow; be covered with flood-water;"
"2811","restatus e","it remains to; it remains standing;"
"2812","restaurat","restore (condition); rebuild; bring back, re-establish, take up again; renew;"
"2813","restitat","stay behind; hesitate;"
"2814","resultat","reverberate, resound; re-echo; rebound, spring back;"
"2815","resuscitat","rouse again, reawaken;"
"2816","retardat","delay, hold up;"
"2817","retemptat","reattempt; try again; (=retento);"
"2818","retentat","hold fast/back, keep hold of; restrain/detain, keep in check/place; retain;"
"2819","retonat","thunder back;"
"2820","retractat","undertake anew; draw back, be reluctant; reconsider; withdraw;"
"2821","retrectat","undertake anew; draw back, be reluctant; reconsider; withdraw; (= retracto);"
"2822","revelat","show; reveal;"
"2823","reverberat","beat back; repel (violently from a surface);"
"2824","revocat","call back, recall; revive; regain;"
"2825","revolat","fly back;"
"2826","rigat","moisten, wet, water, irrigate;"
"2827","robbat","rob;"
"2828","roborat","give physical/moral strength to; reinforce; strengthen, make more effective;"
"2829","rogitat","ask, inquire;"
"2830","rogat","ask, ask for; invite; introduce;"
"2831","rorat","cause dew, drip; be moist;"
"2832","rotat","whirl round; revolve, rotate;"
"2833","rotundat","make round, give circular/spherical shape to; round off (sum);"
"2834","ructat","belch;"
"2835","rugat","wrinkle, crease; corrugate; become wrinkled/rumpled/creased;"
"2836","rumificat","report;"
"2837","ruminat","chew over again; chew the cud;"
"2838","runcinat","plane (as a carpenter);"
"2839","runcat","weed, thin out;"
"2840","rurat","live in the country;"
"2841","rutilat","redden, make reddish; have a reddish glow;"
"2842","rutundat","make round, give circular/spherical shape to; round off (sum);"
"2843","sabbatizat","observe/keep the sabbath;"
"2844","saccat","filter; strain;"
