"","V1","V2"
"370","appropinquat","approach (w/DAT or ad+ACC); come near to, draw near/nigh (space/time); be close;"
"371","appropiat","approach (w/DAT or ad+ACC); come near to, draw near/nigh (space/time); be close;"
"372","appropriat","appropriate, make one's own;"
"373","approximat","be/draw/come close/near to, approach;"
"374","appugnat","attack, assault;"
"375","apricat","tan;"
"376","apricat","warm in the sun;"
"377","apsentat","send away, cause one to be absent; be absent;"
"378","apsonat","have harsh/discordant/unpleasant sound;"
"379","apstat","stand at a distance, stand off; keep at a distance;"
"380","aptat","adapt, fit, apply, adjust, accommodate; put on, fasten; prepare, furnish;"
"381","aratrat","plow in (young grain to improve the yield), plow (after sowing);"
"382","arbitrat","think, judge; consider; be settled/decided on (PASS);"
"383","arbustat","plant (with trees), forest, reforest;"
"384","architectat","design (building), practice architecture;"
"385","arctat","wedge in, fit/close firmly; tighten/compress/abridge/contract; pack/limit/cramp;"
"386","arcuat","bend into the shape of a bow/arch;"
"387","argutat","babble, say childishly/foolishly;"
"388","arietat","butt like a ram, batter/buffet, harass; strike violently; collide; stumble/trip;"
"389","ariolat","divine; foretell, prophesy; use divination;"
"390","armat","equip, fit with armor; arm; strengthen; rouse, stir; incite war; rig (ship);"
"391","arat","plow, till, cultivate; produce by plowing, grow; furrow, wrinkle;"
"392","aromatizat","smell of spice; make aromatic/fragrant/sweet smelling (Ecc);"
"393","arramiat","arraign; indict, accuse;"
"394","arremigat","row up to/towards;"
"395","arrestat","arrest; seize;"
"396","arrigat","water (plants), moisten the soil around;"
"397","arrogat","ask, question; arrogate to one's self, claim, make undue claim; confer (upon);"
"398","arrogat","|adopt (an adult) as one's son (esp. at his instance);"
"399","arrorat","moisten, bedew;"
"400","articulat","divide into distinct parts, articulate;"
"401","artat","wedge in, fit/close firmly, tighten; compress, abridge; pack, limit, cramp;"
"402","artrat","plow (in young grain to improve the yield), plow (after sowing);"
"403","artrat","plow in young grain to improve the yield;"
"404","aspectat","look/gaze at/upon; observe, watch; pay heed; face/look towards (place/person);"
"405","asperat","roughen; sharpen, point, tip; enrage, make fierce/violent; grate on; aggravate;"
"406","aspirat","breathe/blow (upon); aspirate; instill, infuse; be fragrant; influence; aspire;"
"407","asportat","carry/take away, remove;"
"408","asservat","keep/guard/preserve; watch/observe; keep in custody; rescue/save life; reserve;"
"409","asseverat","act earnestly; assert strongly/emphatically, declare; profess; be serious;"
"410","assibilat","hiss out (breath) upon (w/DAT); murmur/whisper to/at (L+S);"
"411","assiccat","dry, dry out, dry up, make dry;"
"412","assiduat","apply constantly; make constant use of (Souter); use regularly/incessantly;"
"413","assignificat","show (w/ACC + INF), make evident; mean/denote (words);"
"414","assignat","assign, distribute, allot; award, bestow (rank/honors); impute; affix seal;"
"415","assimilat","make like; compare; counterfeit, simulate, imitate, pretend, feign, act a part;"
"416","assimulat","make like; compare; counterfeit, simulate, imitate, pretend, feign, act a part;"
"417","assat","roast, bake, broil; dry;"
"418","associat","join/attach (to), associate/work (with); unite with; attend upon; escort (Ecc);"
"419","assolat","level to the ground, destroy;"
"420","assonat","respond, reply; sound in accompaniment; sing as an accompaniment;"
"421","assultat","jump/leap at/towards/upon; dash against; attack, assault, make an attack (on);"
"422","assuspirat","sigh in response (to) (w/DAT);"
"423","astipulat","join in stipulation/covenant; join in demanding; support (in an argument);"
"424","astrangulat","strangle;"
"425","astrificat","make/produce stars;"
"426","ategrat","pour out wine in sacrifices;"
"427","atoptat","adopt, select, secure, pick out; wish/name for oneself; adopt legally;"
"428","attaminat","touch, attack, rob; dishonor, defile, contaminate;"
"429","attegrat","pour out wine in sacrifices;"
"430","attemperat","fit, adjust, accommodate;"
"431","attemptat","attack, assail; call into question; try to seduce/use; make an attempt on, try;"
"432","attentat","attack, assail; call into question; try to seduce/use; make an attempt on, try;"
"433","attenuat","thin (out); weaken, lessen, diminish, shrink, reduce in size; make plain;"
"434","atterminat","set bounds to, measure, limit;"
"435","atticissat","imitate the Attic/Athenian (elegant) manner of speaking;"
"436","attillat","tickle, please;"
"437","attitulat","name, entitle;"
"438","attolerat","support, sustain, bear;"
"439","attonit","strike with lightning, blast; drive crazy, distract;"
"440","attornat","attorn; attribute; ordain, decree; turn to;"
"441","attractat","touch; lay hands on; handle (roughly), assault (sexually), violate; deal with;"
"442","attrectat","touch; lay hands on; handle (roughly), assault (sexually), violate; deal with;"
"443","attrepidat","bestir oneself; hobble along;"
"444","attribulat","thresh, press hard;"
"445","attumulat","heap up against; bank up (with something);"
"446","auctificat","enlarge, increase; honor by offerings/sacrifices;"
"447","auctionat","buy goods at an auction/public sale; buy at auction;"
"448","auctitat","keep increasing/augmenting; honor by offerings (L+S);"
"449","auctat","increase/enlarge (much), grow; prosper/bless (with) (w/ABL);"
