1st_deponent,convad,make a person give surety/bail to appear in court;
1st_deponent,convers,"consort/associate (with); be constant visitor (to); conduct oneself, behave/act;"
1st_deponent,convers,"|abide, live, dwell (somewhere); keep company with; live with; pass one's life;"
1st_deponent,convici,"scold/jeer/revile/insult, utter abuse against; reproach, taunt, rail at (L+S);"
1st_deponent,conviti,"revile, reproach; insult;"
1st_deponent,conviv,give/attend a dinner party/feast; carouse/feast/banquet together (L+S); eat;
1st_deponent,cooper,"work with/together, cooperate (with); combine, unite;"
1st_deponent,coper,"work with/together, cooperate (with); combine, unite;"
1st_deponent,copi,furnish oneself (with supplies); (military); provide oneself abundantly (L+S);
1st_deponent,copul,"connect, join physically, couple; bind/tie together, associate, unite, ally;"
1st_deponent,cornic,"say in a croaking voice, croak out; caw like a crow (L+S);"
1st_deponent,corrusp,"search for, seek out; search carefully after (L+S);"
1st_deponent,crimin,"accuse, denounce; charge (with); allege with accusation; make accusations;"
1st_deponent,cunct,"delay, impede, hold up; hesitate, tarry, linger; be slow to act; dawdle; doubt;"
1st_deponent,deargument,decide finally;
1st_deponent,debacch,rage; rave; (like Bacchantes); revel wildly (L+S); rage without control;
1st_deponent,deconct,"hesitate, delay (over), take one's time;"
1st_deponent,decont,hesitate; be at a loss;
1st_deponent,decunct,"hesitate, delay (over), take one's time;"
1st_deponent,dedign,"disdain; refuse (scornfully), reject with scorn, spurn; feel contempt for;"
1st_deponent,defrustr,foil/thwart completely/thoroughly;
1st_deponent,degrass,sink (w/ACC); descend upon; rush down (L+S); attack fiercely; revile;
1st_deponent,degrum,straighten; level off;
1st_deponent,dehort,"dissuade; advise (person) against an action; deter, have restraining influence;"
1st_deponent,delament,"give oneself up to mourning for; lament, bewail (L+S);"
1st_deponent,delect,"delight, please, amuse, fascinate; charm, lure, entice; be a source of delight;"
1st_deponent,delect,"|(PASS) be delighted/glad, take pleasure; (w/INF) enjoy (being/doing);"
1st_deponent,deluct,wrestle; fight it out (with); struggle (L+S);
1st_deponent,deludific,"dupe, make a complete fool of;"
1st_deponent,demet,measure out; mark out; fix the limits;
1st_deponent,demet,"measure, mark out;"
1st_deponent,demir,"wonder (I wonder how/why); be amazed/utterly astonished at, at loss to imagine;"
1st_deponent,demor,"detain, cause delay, keep waiting/back, hold up; keep (from); delay/linger/stay;"
1st_deponent,demuner,"reward; remunerate, pay the fee (to/for);"
1st_deponent,deoscul,kiss warmly/affectionately; praise/laud highly (L+S);
1st_deponent,depecul,"defraud/embezzle, deprive by fraud; steal/rob/plunder/despoil/rifle; diminish;"
1st_deponent,depopul,sack/plunder/pillage/rob/despoil; ravage/devastate/destroy/lay waste; overgraze;
1st_deponent,depraed,"exhaust by plundering/pillaging; plunder, pillage (L+S);"
1st_deponent,deprec,avert by prayer; entreat/pray/beg; intercede/beg pardon/mercy/relief/exemption;
1st_deponent,deproeli,"fight/struggle/war fiercely/violently, battle;"
1st_deponent,despic,"despise; scorn, disdain;"
1st_deponent,despoli,"rob/plunder; despoil (of); strip, deprive of clothing/covering; (for flogging);"
1st_deponent,detest,"call down solemn curse on, execrate; detest/loathe; avert, ward off by entreaty;"
1st_deponent,devag,wander; stray from; digress;
1st_deponent,devener,"exorcise; ward off by religious rite, avert by prayers; reverence/worship (L+S);"
1st_deponent,devers,"lodge, stay, have lodgings; put up at an inn;"
1st_deponent,digladi,fight (gladiatorial); fight/struggle fiercely; contend; flourish sword (Cas);
1st_deponent,dign,"deem/consider/think worthy/becoming/deserving/fit (to); deign, condescend;"
1st_deponent,digrass,rove around/about;
1st_deponent,dimet,measure out; mark out; fix the limits;
1st_deponent,domin,"be master/despot/in control, rule over, exercise sovereignty; rule/dominate;"
1st_deponent,ecf,"utter, say (solemn words); declare, announce, make known; speak, express;"
1st_deponent,eff,"utter, say (solemn words); declare, announce, make known; speak, express;"
1st_deponent,ejacul,"shoot forth, spout forth, discharge;"
