"","x"
"98","#adfrico, adfricare, adfricui, adfricatus  V (1st) TRANS                                             [DXXFS] :: rub (one thing against another); apply/communicate/impart by rubbing, smear on;"
"99","#adfrico, adfricare, adfricui, adfrictus  V (1st) TRANS                                              [XXXFO] :: rub (one thing against another); apply/communicate/impart by rubbing, smear on;"
"100","#adfrio, adfriare, adfriavi, adfriatus  V (1st) TRANS                                                [XXXFO] :: sprinkle (powder); crumble, grate;"
"101","#adgenero, adgenerare, adgeneravi, adgeneratus  V (1st) TRANS                                        [DXXES] :: beget in addition;"
"102","#adgero, adgerare, adgeravi, adgeratus  V (1st) TRANS                                                [XXXBO] :: heap/fill up, bring, carry; increase, add fuel; push/crowd/press together;"
"103","#adglomero, adglomerare, adglomeravi, adglomeratus  V (1st) TRANS                                    [XXXCO] :: gather into a body, mass together, join forces; pile up in masses; agglomerate;"
"104","#adglutino, adglutinare, adglutinavi, adglutinatus  V (1st) TRANS                                    [XXXCO] :: glue/stick/adhere/fasten to/together; fit/grip on closely; bring in contact;"
"105","#adgravo, adgravare, adgravavi, adgravatus  V (1st) TRANS                                            [XXXCO] :: aggravate, exaggerate; weigh down, oppress; make heavier; embarrass further;"
"106","#adgrego, adgregare, adgregavi, adgregatus  V (1st) TRANS                                            [XXXBO] :: collect, include, group, implicate; (cause to) flock/join together, attach;"
"107","#adguberno, adgubernare, adgubernavi, adgubernatus  V (1st)                                          [XXXEO] :: steer (one's course);"
"108","#adhalo, adhalare, adhalavi, adhalatus  V (1st) TRANS                                                [XXXNO] :: breathe upon;"
"109","#adhamo, adhamare, adhamavi, adhamatus  V (1st) TRANS                                                [XXXFS] :: catch, secure;"
"110","#adhospito, adhospitare, adhospitavi, adhospitatus  V (1st) TRANS                                    [DXXES] :: entertain as guest; propitiate;"
"111","#adinflo, adinflare, adinflavi, adinflatus  V (1st) TRANS                                            [DXXES] :: swell up;"
"112","#adinspecto, adinspectare, adinspectavi, adinspectatus  V (1st) TRANS                                [XXXFO] :: watch; guard (person);"
"113","#adito, aditare, aditavi, aditatus  V (1st) INTRANS                                                  [XXXFO] :: approach often/frequently/habitually;"
"114","#adjudico, adjudicare, adjudicavi, adjudicatus  V (1st) TRANS                                        [XLXCO] :: adjudge, impute, attribute, ascribe (to); award (as a judge), assign (to);"
"115","#adjugo, adjugare, adjugavi, adjugatus  V (1st) TRANS                                                [XXXEO] :: join, attach (to);"
"116","#adjuro, adjurare, adjuravi, adjuratus  V (1st) TRANS                                                [XXXCO] :: swear by/solemnly; affirm with oath; charge/entreat/urge (as under oath/curse);"
"117","#adjuto, adjutare, adjutavi, adjutatus  V (1st)                                                      [XXXCO] :: help (w/burden/activity); help realize a program/purpose;"
"118","#adjuvo, adjuvare, adjuvavi, adjuvatus  V (1st) TRANS                                                [DXXES] :: help, aid, abet, encourage, favor; cherish, sustain; be of use, be profitable;"
"119","#adjuvo, adjuvare, adjuvi, adjutus  V (1st) TRANS                                                    [XXXAO] :: help, aid, abet, encourage, favor; cherish, sustain; be of use, be profitable;"
"120","#adlaboro, adlaborare, adlaboravi, adlaboratus  V (1st)                                              [XXXEO] :: make a special effort; take trouble to;"
"121","#adlacrimo, adlacrimare, -, -  V (1st) INTRANS                                                       [XXXEL] :: shed tears, cry, weep (at or as an accompaniment to something);"
"122","#adlatro, adlatrare, adlatravi, adlatratus  V (1st) TRANS                                            [XXXCO] :: bark at; rail at; rage, roar (sea);"
"123","#adlaudo, adlaudare, adlaudavi, adlaudatus  V (1st) TRANS                                            [XXXFO] :: praise, commend;"
